key,in_bt,in_live,bt_dir,live_dir,bt_entry,live_entry,bt_stop,live_stop,bt_target,live_target
2025-06-05T10:20:00-04:00,True,True,short,short,21734.79,21734.79,21803.36,21803.36,21597.65,21597.65
2025-06-06T10:40:00-04:00,True,False,short,,21787.89,,21813.51,,21736.66,
2025-06-06T11:45:00-04:00,True,True,short,short,21779.26,21779.26,21834.81,21834.81,21668.16,21668.16
2025-06-09T09:40:00-04:00,True,True,short,short,21765.99,21765.99,21784.85,21784.85,21728.25,21728.25
2025-06-11T10:10:00-04:00,True,True,short,short,21981.9,21981.9,22008.39,22008.39,21928.93,21928.93
2025-06-12T11:30:00-04:00,True,True,short,short,21894.05,21894.05,21936.19,21936.19,21809.76,21809.76
2025-06-13T10:10:00-04:00,True,True,long,long,21683.91,21683.91,21610.01,21610.01,21831.7,21831.7
2025-06-18T09:40:00-04:00,True,True,short,short,21742.55,21742.55,21781.31,21781.31,21665.02,21665.02
2025-06-19T11:35:00-04:00,True,True,long,long,21470.8,21470.8,21450.22,21450.22,21511.95,21511.95
2025-06-20T11:15:00-04:00,True,False,short,,21635.7,,21741.14,,21424.81,
2025-06-26T09:55:00-04:00,True,True,short,short,22325.33,22325.33,22346.12,22346.12,22283.74,22283.74
2025-06-30T09:55:00-04:00,True,False,short,,22608.07,,22657.11,,22509.98,
2025-07-07T09:40:00-04:00,True,True,short,short,22759.62,22759.62,22782.51,22782.51,22713.83,22713.83
2025-07-08T10:35:00-04:00,True,True,short,short,22732.15,22732.15,22751.8,22751.8,22692.84,22692.84
2025-07-15T11:25:00-04:00,True,True,short,short,22993.64,22993.64,23008.1,23008.1,22964.71,22964.71
2025-07-16T10:30:00-04:00,True,True,short,short,22855.89,22855.89,22916.08,22916.08,22735.53,22735.53
2025-07-24T10:55:00-04:00,True,True,short,short,23220.04,23220.04,23249.04,23249.04,23162.05,23162.05
2025-07-25T10:15:00-04:00,True,False,long,,23250.42,,23230.8,,23289.66,
2025-07-28T10:20:00-04:00,True,True,long,long,23338.95,23338.95,23320.74,23320.74,23375.38,23375.38
2025-07-28T11:25:00-04:00,True,False,short,,23336.65,,23359.49,,23290.96,
2025-07-29T11:45:00-04:00,True,False,short,,23353.07,,23392.4,,23274.42,
2025-07-30T10:00:00-04:00,True,True,long,long,23331.01,23331.01,23312.7,23312.7,23367.65,23367.65
2025-07-31T09:50:00-04:00,True,False,short,,23513.59,,23617.19,,23306.4,
2025-08-06T10:20:00-04:00,True,True,long,long,23062.87,23062.87,23044.48,23044.48,23099.65,23099.65
2025-08-07T10:45:00-04:00,True,True,short,short,23481.43,23481.43,23513.81,23513.81,23416.67,23416.67
2025-08-12T10:35:00-04:00,True,False,short,,23566.47,,23624.9,,23449.62,
2025-08-13T10:35:00-04:00,True,False,short,,23868.13,,23905.13,,23794.14,
2025-08-14T11:10:00-04:00,True,True,long,long,23831.7,23831.7,23801.95,23801.95,23891.2,23891.2
2025-08-18T10:30:00-04:00,True,True,long,long,23673.22,23673.22,23647.26,23647.26,23725.14,23725.14
2025-08-21T10:30:00-04:00,True,False,long,,23234.59,,23187.32,,23329.13,
2025-08-22T11:10:00-04:00,True,True,long,long,23471.78,23471.78,23413.98,23413.98,23587.39,23587.39
2025-08-25T09:45:00-04:00,True,True,long,long,23396.57,23396.57,23374.21,23374.21,23441.29,23441.29
2025-08-25T10:20:00-04:00,True,True,long,long,23450.13,23450.13,23398.19,23398.19,23554.02,23554.02
2025-08-26T09:50:00-04:00,True,True,short,short,23425.41,23425.41,23448.89,23448.89,23378.47,23378.47
2025-08-26T12:00:00-04:00,True,True,short,short,23461.47,23461.47,23484.48,23484.48,23415.45,23415.45
2025-08-28T10:05:00-04:00,True,True,short,short,23613.94,23613.94,23676.05,23676.05,23489.71,23489.71
2025-09-03T09:50:00-04:00,True,True,short,short,23375.05,23375.05,23414.82,23414.82,23295.53,23295.53
2025-09-04T10:35:00-04:00,True,True,short,short,23470.19,23470.19,23507.12,23507.12,23396.34,23396.34
2025-09-05T11:35:00-04:00,True,True,short,short,23610.81,23610.81,23696.78,23696.78,23438.87,23438.87
2025-09-09T10:10:00-04:00,True,True,short,short,23801.26,23801.26,23824.6,23824.6,23754.58,23754.58
2025-09-10T10:00:00-04:00,True,True,short,short,23929.14,23929.14,23986.19,23986.19,23815.05,23815.05
2025-09-11T09:45:00-04:00,True,True,short,short,23938.85,23938.85,23971.58,23971.58,23873.38,23873.38
2025-09-12T09:55:00-04:00,True,True,short,short,24024.88,24024.88,24043.65,24043.65,23987.35,23987.35
2025-09-16T10:05:00-04:00,True,False,short,,24295.49,,24315.82,,24254.85,
2025-09-19T11:50:00-04:00,True,True,short,short,24519.66,24519.66,24534.13,24534.13,24490.72,24490.72
2025-09-22T09:40:00-04:00,True,True,long,long,24578.32,24578.32,24557.78,24557.78,24619.38,24619.38
2025-09-23T10:40:00-04:00,True,True,short,short,24730.2,24730.2,24768.47,24768.47,24653.66,24653.66
2025-09-24T10:00:00-04:00,True,False,short,,24595.4,,24657.83,,24470.54,
2025-09-30T09:45:00-04:00,True,True,short,short,24580.21,24580.21,24607.29,24607.29,24526.04,24526.04
2025-09-30T11:25:00-04:00,True,True,long,long,24537.66,24537.66,24498.54,24498.54,24615.9,24615.9
2025-10-01T09:45:00-04:00,True,True,long,long,24551.38,24551.38,24521.75,24521.75,24610.65,24610.65
2025-10-02T09:55:00-04:00,True,False,short,,24839.18,,24915.4,,24686.74,
2025-10-03T09:55:00-04:00,True,True,long,long,24921.3,24921.3,24912.15,24912.15,24939.6,24939.6
2025-10-06T09:50:00-04:00,True,False,short,,24958.41,,25017.4,,24840.43,
2025-10-07T11:15:00-04:00,True,False,short,,24911.26,,24987.46,,24758.86,
2025-10-10T10:00:00-04:00,True,True,long,long,25130.46,25130.46,25105.16,25105.16,25181.06,25181.06
2025-10-13T09:40:00-04:00,True,True,short,short,24631.71,24631.71,24696.92,24696.92,24501.27,24501.27
2025-10-13T11:15:00-04:00,True,False,short,,24674.83,,24712.41,,24599.65,
2025-10-15T09:45:00-04:00,True,True,short,short,24805.71,24805.71,24844.94,24844.94,24727.26,24727.26
2025-10-16T10:20:00-04:00,True,True,short,short,24923.23,24923.23,24953.16,24953.16,24863.35,24863.35
2025-10-21T10:20:00-04:00,True,True,short,short,25118.77,25118.77,25140.7,25140.7,25074.91,25074.91
2025-10-22T10:15:00-04:00,True,True,long,long,25047.5,25047.5,25012.26,25012.26,25117.99,25117.99
2025-10-23T10:10:00-04:00,True,False,long,,24960.49,,24865.08,,25151.31,
2025-10-29T10:10:00-04:00,True,True,long,long,26125.62,26125.62,26112.0,26112.0,26152.85,26152.85
2025-11-03T10:35:00-05:00,True,False,short,,25932.47,,25993.45,,25810.51,
2025-11-05T10:20:00-05:00,True,False,long,,25504.07,,25384.62,,25742.95,
2025-11-12T10:05:00-05:00,True,False,short,,25550.84,,25676.0,,25300.51,
2025-11-17T10:00:00-05:00,True,False,long,,25080.47,,24867.41,,25506.58,
2025-11-20T11:25:00-05:00,True,False,short,,24892.9,,25028.65,,24621.42,
2025-11-21T10:25:00-05:00,True,False,short,,24107.79,,24209.77,,23903.82,
2025-11-26T10:35:00-05:00,True,True,short,short,25181.05,25181.05,25208.89,25208.89,25125.36,25125.36
