tag,value,year,n,up_frac_30m,mean_fwd_ret_30m_atr
tag1_dir_agree,agree,2016,209,0.5102040816326531,-0.0038005977961911
tag1_dir_agree,agree,2017,189,0.49206349206349204,0.003055131753460536
tag1_dir_agree,agree,2018,201,0.527363184079602,-0.005500384239678425
tag1_dir_agree,agree,2019,220,0.5454545454545454,0.01045712000777978
tag1_dir_agree,agree,2020,191,0.6335078534031413,0.013027488391190523
tag1_dir_agree,agree,2021,203,0.5615763546798029,-0.006414090205482978
tag1_dir_agree,agree,2022,220,0.5227272727272727,-0.012790685091314648
tag1_dir_agree,agree,2023,194,0.5360824742268041,0.0004936070083748737
tag1_dir_agree,agree,2024,205,0.526829268292683,-0.004118532535850489
tag1_dir_agree,agree,2025,218,0.5871559633027523,0.014087266994228886
tag1_dir_agree,agree,2026,85,0.5176470588235295,-0.016066975724926633
tag1_dir_agree,disagree,2016,49,0.4375,-0.023091075400110378
tag1_dir_agree,disagree,2017,66,0.5303030303030303,-0.001000064447702008
tag1_dir_agree,disagree,2018,56,0.5178571428571429,-0.0060442719918652925
tag1_dir_agree,disagree,2019,38,0.4473684210526316,-0.018846307345120928
tag1_dir_agree,disagree,2020,68,0.47058823529411764,-0.03040406635951626
tag1_dir_agree,disagree,2021,54,0.4074074074074074,-0.03001960191782113
tag1_dir_agree,disagree,2022,38,0.47368421052631576,-0.02617159243384908
tag1_dir_agree,disagree,2023,62,0.43548387096774194,-0.025663540789348006
tag1_dir_agree,disagree,2024,54,0.6111111111111112,0.021488900115059884
tag1_dir_agree,disagree,2025,39,0.38461538461538464,-0.010963020104537065
tag1_dir_agree,disagree,2026,16,0.5625,0.07935816063076243
tag2_es_stronger,es_stronger,2016,97,0.4948453608247423,-0.0034319835588355416
tag2_es_stronger,es_stronger,2017,117,0.47863247863247865,-0.008231854495507384
tag2_es_stronger,es_stronger,2018,90,0.5111111111111111,-0.02881049906820885
tag2_es_stronger,es_stronger,2019,120,0.525,0.006296657849127112
tag2_es_stronger,es_stronger,2020,102,0.5490196078431373,0.0028456140288920964
tag2_es_stronger,es_stronger,2021,117,0.5128205128205128,-0.02005851154542987
tag2_es_stronger,es_stronger,2022,108,0.5185185185185185,-0.024598823100685955
tag2_es_stronger,es_stronger,2023,95,0.49473684210526314,-0.015609638805061192
tag2_es_stronger,es_stronger,2024,102,0.5882352941176471,0.020621726119770274
tag2_es_stronger,es_stronger,2025,99,0.5151515151515151,0.004552915690396806
tag2_es_stronger,es_stronger,2026,40,0.475,-0.01661514375554004
tag2_es_stronger,nq_stronger,2016,147,0.4965986394557823,-0.010342764503753103
tag2_es_stronger,nq_stronger,2017,140,0.5214285714285715,0.009760007761282568
tag2_es_stronger,nq_stronger,2018,167,0.5329341317365269,0.006879571571371116
tag2_es_stronger,nq_stronger,2019,138,0.5362318840579711,0.006005853483345668
tag2_es_stronger,nq_stronger,2020,157,0.6178343949044586,0.0008313448364540773
tag2_es_stronger,nq_stronger,2021,141,0.5460992907801419,-0.0028326627404500326
tag2_es_stronger,nq_stronger,2022,150,0.5133333333333333,-0.0076786555846760345
tag2_es_stronger,nq_stronger,2023,161,0.5217391304347826,-7.741666356545544e-05
tag2_es_stronger,nq_stronger,2024,157,0.5159235668789809,-0.011384169604157227
tag2_es_stronger,nq_stronger,2025,158,0.5822784810126582,0.01387802384377005
tag2_es_stronger,nq_stronger,2026,61,0.5573770491803278,0.00932202268352518
tag3_vwap_side_1000,es_above_nq_below,2016,19,0.3684210526315789,-0.040374210454489655
tag3_vwap_side_1000,es_above_nq_below,2017,27,0.3333333333333333,-0.03335545485028105
tag3_vwap_side_1000,es_above_nq_below,2018,13,0.5384615384615384,-0.011114950356173233
tag3_vwap_side_1000,es_above_nq_below,2019,18,0.7222222222222222,0.04316789123316332
tag3_vwap_side_1000,es_above_nq_below,2020,23,0.391304347826087,-0.07755059510687207
tag3_vwap_side_1000,es_above_nq_below,2021,26,0.5384615384615384,-0.00216067879559288
tag3_vwap_side_1000,es_above_nq_below,2022,14,0.35714285714285715,-0.0634635217305197
tag3_vwap_side_1000,es_above_nq_below,2023,33,0.5151515151515151,-0.017359985107235586
tag3_vwap_side_1000,es_above_nq_below,2024,29,0.4827586206896552,-0.03743091109068082
tag3_vwap_side_1000,es_above_nq_below,2025,17,0.35294117647058826,-0.03799434428012672
tag3_vwap_side_1000,es_above_nq_below,2026,8,0.5,0.005815585127618306
tag3_vwap_side_1000,es_below_nq_above,2016,26,0.46153846153846156,-0.018743152622906285
tag3_vwap_side_1000,es_below_nq_above,2017,23,0.5217391304347826,0.0007459540523263586
tag3_vwap_side_1000,es_below_nq_above,2018,23,0.5217391304347826,0.0029181444663050602
tag3_vwap_side_1000,es_below_nq_above,2019,23,0.5652173913043478,-0.007609599964693618
tag3_vwap_side_1000,es_below_nq_above,2020,26,0.6538461538461539,0.012391615578062176
tag3_vwap_side_1000,es_below_nq_above,2021,35,0.6,0.016057192147412986
tag3_vwap_side_1000,es_below_nq_above,2022,20,0.6,-0.010671154979337991
tag3_vwap_side_1000,es_below_nq_above,2023,21,0.5238095238095238,0.016945574270085247
tag3_vwap_side_1000,es_below_nq_above,2024,20,0.6,0.016963127657935846
tag3_vwap_side_1000,es_below_nq_above,2025,17,0.7647058823529411,0.10152992912476493
tag3_vwap_side_1000,es_below_nq_above,2026,7,0.7142857142857143,0.13599906129263242
tag3_vwap_side_1000,same_side,2016,199,0.5125628140703518,-0.00300933075591903
tag3_vwap_side_1000,same_side,2017,207,0.5217391304347826,0.0062160118278225965
tag3_vwap_side_1000,same_side,2018,221,0.5248868778280543,-0.006184069827215317
tag3_vwap_side_1000,same_side,2019,217,0.511520737327189,0.004527214191649631
tag3_vwap_side_1000,same_side,2020,210,0.6047619047619047,0.00896312120332726
tag3_vwap_side_1000,same_side,2021,197,0.5177664974619289,-0.016507996820775576
tag3_vwap_side_1000,same_side,2022,224,0.5178571428571429,-0.012082851914113629
tag3_vwap_side_1000,same_side,2023,202,0.5099009900990099,-0.006328501586375582
tag3_vwap_side_1000,same_side,2024,210,0.5476190476190477,0.005058739546832906
tag3_vwap_side_1000,same_side,2025,223,0.5560538116591929,0.007010589588816599
tag3_vwap_side_1000,same_side,2026,86,0.5116279069767442,-0.012726517169720213
tag3_vwap_side_1030,es_above_nq_below,2016,14,0.6428571428571429,0.028899425830101442
tag3_vwap_side_1030,es_above_nq_below,2017,25,0.68,-0.046237468845262454
tag3_vwap_side_1030,es_above_nq_below,2018,12,0.75,0.11880497397224861
tag3_vwap_side_1030,es_above_nq_below,2019,23,0.5652173913043478,-0.028928831918120516
tag3_vwap_side_1030,es_above_nq_below,2020,30,0.4666666666666667,-0.040190016811973185
tag3_vwap_side_1030,es_above_nq_below,2021,30,0.4666666666666667,-0.008403792049491392
tag3_vwap_side_1030,es_above_nq_below,2022,12,0.3333333333333333,-0.06132152035331604
tag3_vwap_side_1030,es_above_nq_below,2023,21,0.42857142857142855,-0.02251064638565077
tag3_vwap_side_1030,es_above_nq_below,2024,15,0.7333333333333333,0.03611697091728496
tag3_vwap_side_1030,es_above_nq_below,2025,21,0.5714285714285714,-0.011545904645017155
tag3_vwap_side_1030,es_above_nq_below,2026,9,0.6666666666666666,0.06728716776977019
tag3_vwap_side_1030,es_below_nq_above,2016,27,0.6296296296296297,0.020024640220983395
tag3_vwap_side_1030,es_below_nq_above,2017,22,0.5,0.03505108353134688
tag3_vwap_side_1030,es_below_nq_above,2018,31,0.5806451612903226,-0.021904302654874756
tag3_vwap_side_1030,es_below_nq_above,2019,16,0.5625,0.009169846562924956
tag3_vwap_side_1030,es_below_nq_above,2020,21,0.7619047619047619,0.031606070728956645
tag3_vwap_side_1030,es_below_nq_above,2021,24,0.5416666666666666,-0.0009582811815148548
tag3_vwap_side_1030,es_below_nq_above,2022,14,0.5714285714285714,0.09573734555429589
tag3_vwap_side_1030,es_below_nq_above,2023,14,0.5714285714285714,0.03454038277795491
tag3_vwap_side_1030,es_below_nq_above,2024,15,0.3333333333333333,-0.040933883428846025
tag3_vwap_side_1030,es_below_nq_above,2025,17,0.4117647058823529,-0.005346048005090476
tag3_vwap_side_1030,same_side,2016,203,0.4975369458128079,-0.011577267574349754
tag3_vwap_side_1030,same_side,2017,210,0.5142857142857142,0.01939018728501224
tag3_vwap_side_1030,same_side,2018,214,0.5,-0.006140474408796912
tag3_vwap_side_1030,same_side,2019,219,0.5753424657534246,0.007766928874123198
tag3_vwap_side_1030,same_side,2020,208,0.5096153846153846,-0.01848055825209112
tag3_vwap_side_1030,same_side,2021,204,0.5441176470588235,0.0038502181166877904
tag3_vwap_side_1030,same_side,2022,232,0.46551724137931033,-0.0029030811940736635
tag3_vwap_side_1030,same_side,2023,221,0.5067873303167421,-0.01228612340913001
tag3_vwap_side_1030,same_side,2024,229,0.48034934497816595,-0.008499359968823533
tag3_vwap_side_1030,same_side,2025,219,0.4885844748858447,-0.018885989069995366
tag3_vwap_side_1030,same_side,2026,89,0.6067415730337079,0.02200769099968473
tag4_rs_slope_1030,es_relatively_stronger_slope,2016,116,0.5619047619047619,0.008775456760566071
tag4_rs_slope_1030,es_relatively_stronger_slope,2017,124,0.5241935483870968,0.0076999585241877755
tag4_rs_slope_1030,es_relatively_stronger_slope,2018,120,0.475,-0.007031519601353174
tag4_rs_slope_1030,es_relatively_stronger_slope,2019,124,0.5806451612903226,-0.006924709728333587
tag4_rs_slope_1030,es_relatively_stronger_slope,2020,99,0.5454545454545454,0.0009492083484131145
tag4_rs_slope_1030,es_relatively_stronger_slope,2021,118,0.5338983050847458,-0.011589615568031782
tag4_rs_slope_1030,es_relatively_stronger_slope,2022,127,0.5039370078740157,0.0018750830283473666
tag4_rs_slope_1030,es_relatively_stronger_slope,2023,120,0.4583333333333333,-0.03424663038856168
tag4_rs_slope_1030,es_relatively_stronger_slope,2024,122,0.4344262295081967,-0.02622077883357844
tag4_rs_slope_1030,es_relatively_stronger_slope,2025,121,0.4380165289256198,-0.03283740825955774
tag4_rs_slope_1030,es_relatively_stronger_slope,2026,49,0.6530612244897959,0.017450014885603993
tag4_rs_slope_1030,nq_relatively_stronger_slope,2016,142,0.4892086330935252,-0.01673633834434867
tag4_rs_slope_1030,nq_relatively_stronger_slope,2017,133,0.5338345864661654,0.020543846536927493
tag4_rs_slope_1030,nq_relatively_stronger_slope,2018,137,0.5620437956204379,0.002017132365297131
tag4_rs_slope_1030,nq_relatively_stronger_slope,2019,134,0.5671641791044776,0.015231162989823669
tag4_rs_slope_1030,nq_relatively_stronger_slope,2020,160,0.5125,-0.027999379762368482
tag4_rs_slope_1030,nq_relatively_stronger_slope,2021,140,0.5357142857142857,0.01341361873564972
tag4_rs_slope_1030,nq_relatively_stronger_slope,2022,131,0.42748091603053434,-0.0023449296801897395
tag4_rs_slope_1030,nq_relatively_stronger_slope,2023,136,0.5441176470588235,0.010332383514723324
tag4_rs_slope_1030,nq_relatively_stronger_slope,2024,137,0.5328467153284672,0.008615532096077115
tag4_rs_slope_1030,nq_relatively_stronger_slope,2025,136,0.5367647058823529,-0.003647441327605854
tag4_rs_slope_1030,nq_relatively_stronger_slope,2026,52,0.5961538461538461,0.04472901644294629
