stage,drive,strength,entry,stop,exit,filt,n_events,n_no_fill,n,tr_per_wk,wr,pf,exp_r,tot_r,maxdd_r,n_long,n_short,flags
A-coarse,first-15m,ge0.5atr,pullback_50pct,drive_midpoint,1.5R,none,31,22,0,0.0,,,,0.0,0.0,0,0,
A-coarse,first-15m,ge0.5atr,pullback_50pct,atr_1.5,1.5R,none,31,22,9,0.016618306515431284,0.4444444444444444,1.4143365471506204,0.07116618426880242,0.6404956584192217,-1.2718564617669235,8,1,
A-coarse,first-15m,ge0.5atr,pullback_vwap,drive_midpoint,1.5R,none,31,3,28,0.05170139804800844,0.35714285714285715,0.3770167211447285,-0.4766532382433394,-13.346290670813502,-13.11776405374562,14,14,
A-coarse,first-15m,ge0.5atr,pullback_vwap,atr_1.5,1.5R,none,31,3,28,0.05170139804800844,0.5,0.9204793287868426,-0.01816013336988823,-0.5084837343568704,-2.8784272398462827,14,14,
A-coarse,first-15m,ge0.5atr,or_boundary_retest,drive_midpoint,1.5R,none,31,3,28,0.05170139804800844,0.39285714285714285,0.491889645194843,-0.3072678144551482,-8.60349880474415,-8.527217012957216,14,14,
A-coarse,first-15m,ge0.5atr,or_boundary_retest,atr_1.5,1.5R,none,31,3,28,0.05170139804800844,0.5357142857142857,0.8558236496811331,-0.03431331080335097,-0.9607727024938271,-3.8432960132274734,14,14,
A-coarse,first-15m,ge0.5atr,next_bar_open,drive_midpoint,1.5R,none,31,0,31,0.0572408335531522,0.4838709677419355,0.9415146856310912,-0.029934607223449542,-0.9279728239269358,-6.904215297488191,15,16,
A-coarse,first-15m,ge0.5atr,next_bar_open,atr_1.5,1.5R,none,31,0,31,0.0572408335531522,0.4838709677419355,0.8396430690884925,-0.04155764768816055,-1.2882870783329772,-4.558587382788126,15,16,
A-coarse,first-15m,ge0.75atr_body0.6,pullback_50pct,drive_midpoint,1.5R,none,8,6,0,0.0,,,,0.0,0.0,0,0,
A-coarse,first-15m,ge0.75atr_body0.6,pullback_50pct,atr_1.5,1.5R,none,8,6,2,0.0036929570034291747,0.5,0.4631046178019601,-0.1031273541665146,-0.2062547083330292,-0.38416182215728173,2,0,
A-coarse,first-15m,ge0.75atr_body0.6,pullback_vwap,drive_midpoint,1.5R,none,8,1,7,0.01292534951200211,0.2857142857142857,0.11246502161741863,-0.6989298402524232,-4.892508881766963,-3.856445404772707,4,3,
A-coarse,first-15m,ge0.75atr_body0.6,pullback_vwap,atr_1.5,1.5R,none,8,1,7,0.01292534951200211,0.5714285714285714,0.5470522603636312,-0.1697377769205834,-1.1881644384440837,-1.101187379369475,4,3,
A-coarse,first-15m,ge0.75atr_body0.6,or_boundary_retest,drive_midpoint,1.5R,none,8,0,8,0.014771828013716699,0.25,0.05255800856948619,-0.7639430653811153,-6.111544523048923,-5.0773750278575465,5,3,
A-coarse,first-15m,ge0.75atr_body0.6,or_boundary_retest,atr_1.5,1.5R,none,8,0,8,0.014771828013716699,0.5,0.48927322519375605,-0.18192200589032403,-1.4553760471225923,-1.5137011950458108,5,3,
A-coarse,first-15m,ge0.75atr_body0.6,next_bar_open,drive_midpoint,1.5R,none,8,0,8,0.014771828013716699,0.5,0.7350567300787397,-0.14331345883101362,-1.146507670648109,-2.912247289797058,5,3,
A-coarse,first-15m,ge0.75atr_body0.6,next_bar_open,atr_1.5,1.5R,none,8,0,8,0.014771828013716699,0.5,0.612119816316913,-0.13680019814963554,-1.0944015851970843,-1.4547100687425167,5,3,
A-coarse,first-30m,ge0.5atr,pullback_50pct,drive_midpoint,1.5R,none,93,78,0,0.0,,,,0.0,0.0,0,0,
A-coarse,first-30m,ge0.5atr,pullback_50pct,atr_1.5,1.5R,none,93,78,15,0.02769717752571881,0.7333333333333333,2.924934531203329,0.2771679755043838,4.157519632565758,-1.3956595869472592,14,1,
A-coarse,first-30m,ge0.5atr,pullback_vwap,drive_midpoint,1.5R,none,93,39,54,0.09970983909258771,0.5740740740740741,1.1930083733487447,0.08505177096516306,4.592795632118805,-6.331247916830588,23,31,
A-coarse,first-30m,ge0.5atr,pullback_vwap,atr_1.5,1.5R,none,93,39,54,0.09970983909258771,0.6296296296296297,1.3696037185176453,0.06627799074582755,3.579011500274688,-1.8793099078038358,23,31,
A-coarse,first-30m,ge0.5atr,or_boundary_retest,drive_midpoint,1.5R,none,93,15,78,0.1440253231337378,0.4230769230769231,0.9326849296885041,-0.031862823956991755,-2.4853002686453567,-6.598731877111442,41,37,
A-coarse,first-30m,ge0.5atr,or_boundary_retest,atr_1.5,1.5R,none,93,15,78,0.1440253231337378,0.5128205128205128,0.9326832123668234,-0.014722529942035267,-1.1483573354787509,-3.679529337334143,41,37,
A-coarse,first-30m,ge0.5atr,next_bar_open,drive_midpoint,1.5R,none,93,0,93,0.1717225006594566,0.41935483870967744,0.7623536294571409,-0.12156060769659219,-11.305136515783074,-13.202833040656063,45,48,
A-coarse,first-30m,ge0.5atr,next_bar_open,atr_1.5,1.5R,none,93,0,93,0.1717225006594566,0.5698924731182796,1.2447342133711725,0.047329757036833904,4.401667404425553,-3.1240449263158463,45,48,
A-coarse,first-30m,ge0.75atr_body0.6,pullback_50pct,drive_midpoint,1.5R,none,18,12,0,0.0,,,,0.0,0.0,0,0,
A-coarse,first-30m,ge0.75atr_body0.6,pullback_50pct,atr_1.5,1.5R,none,18,12,6,0.011078871010287523,0.8333333333333334,7.6707836466017065,0.46444373492680296,2.786662409560818,-0.4177413864981854,6,0,
A-coarse,first-30m,ge0.75atr_body0.6,pullback_vwap,drive_midpoint,1.5R,none,18,5,13,0.024004220522289635,0.6153846153846154,1.257255499214582,0.11345241517807841,1.4748813973150194,-3.5071063379185285,7,6,
A-coarse,first-30m,ge0.75atr_body0.6,pullback_vwap,atr_1.5,1.5R,none,18,5,13,0.024004220522289635,0.8461538461538461,3.9330628097578857,0.36160148294682865,4.7008192783087726,-0.5665419220671577,7,6,
A-coarse,first-30m,ge0.75atr_body0.6,or_boundary_retest,drive_midpoint,1.5R,none,18,3,15,0.02769717752571881,0.26666666666666666,0.5326559484494683,-0.24692504423052347,-3.7038756634578522,-5.3064001353584285,9,6,
A-coarse,first-30m,ge0.75atr_body0.6,or_boundary_retest,atr_1.5,1.5R,none,18,3,15,0.02769717752571881,0.4666666666666667,0.97882788568821,-0.005255012055819893,-0.07882518083729839,-1.0197538807556987,9,6,
A-coarse,first-30m,ge0.75atr_body0.6,next_bar_open,drive_midpoint,1.5R,none,18,0,18,0.03323661303086257,0.3333333333333333,0.5684283006859029,-0.23224297031143848,-4.180373465605893,-5.716568446015166,10,8,
A-coarse,first-30m,ge0.75atr_body0.6,next_bar_open,atr_1.5,1.5R,none,18,0,18,0.03323661303086257,0.6666666666666666,2.7413572644988005,0.22098709294706542,3.9777676730471776,-0.6405672958351105,10,8,
B-fine,first-30m,ge0.5atr,pullback_vwap,drive_midpoint,1.5R,vwap_slope_agreement,93,39,54,0.09970983909258771,0.5740740740740741,1.1930083733487447,0.08505177096516306,4.592795632118805,-6.331247916830588,23,31,
B-fine,first-30m,ge0.5atr,pullback_vwap,drive_midpoint,1.5R,exclude_gap_fill,93,39,34,0.06278026905829596,0.5588235294117647,1.2501139977676854,0.10019671506651846,3.4066883122616276,-3.7450478101477613,15,19,
B-fine,first-30m,ge0.5atr,pullback_vwap,drive_midpoint,2R,none,93,39,54,0.09970983909258771,0.5185185185185185,1.0706080355513699,0.03622995508978301,1.9564175748482824,-10.030667027871818,23,31,
B-fine,first-30m,ge0.5atr,pullback_vwap,drive_midpoint,2R,vwap_slope_agreement,93,39,54,0.09970983909258771,0.5185185185185185,1.0706080355513699,0.03622995508978301,1.9564175748482824,-10.030667027871818,23,31,
B-fine,first-30m,ge0.5atr,pullback_vwap,drive_midpoint,2R,exclude_gap_fill,93,39,34,0.06278026905829596,0.5,1.1821353318708236,0.08549083271357923,2.9066883122616938,-4.898339961885262,15,19,
B-fine,first-30m,ge0.5atr,pullback_vwap,drive_midpoint,drive_extension_1.0x,none,93,39,54,0.09970983909258771,0.4074074074074074,0.6273989541612712,-0.2439415392802983,-13.172843121136108,-21.746337295559155,23,31,
B-fine,first-30m,ge0.5atr,pullback_vwap,drive_midpoint,drive_extension_1.0x,vwap_slope_agreement,93,39,54,0.09970983909258771,0.4074074074074074,0.6273989541612712,-0.2439415392802983,-13.172843121136108,-21.746337295559155,23,31,
B-fine,first-30m,ge0.5atr,pullback_vwap,drive_midpoint,drive_extension_1.0x,exclude_gap_fill,93,39,34,0.06278026905829596,0.3235294117647059,0.35066550009608155,-0.4464471345828469,-15.179202575816795,-15.783585232107063,15,19,
B-fine,first-30m,ge0.5atr,pullback_vwap,drive_midpoint,trail_3.5xATR,none,93,39,54,0.09970983909258771,0.37037037037037035,0.511551338062173,-0.29350342362003823,-15.849184875482063,-23.202236812081026,23,31,
B-fine,first-30m,ge0.5atr,pullback_vwap,drive_midpoint,trail_3.5xATR,vwap_slope_agreement,93,39,54,0.09970983909258771,0.37037037037037035,0.511551338062173,-0.29350342362003823,-15.849184875482063,-23.202236812081026,23,31,
B-fine,first-30m,ge0.5atr,pullback_vwap,drive_midpoint,trail_3.5xATR,exclude_gap_fill,93,39,34,0.06278026905829596,0.3235294117647059,0.26044984544305405,-0.4457023628273839,-15.153880336131053,-15.5165710453407,15,19,
B-fine,first-30m,ge0.5atr,next_bar_open,atr_1.5,1.5R,vwap_slope_agreement,93,0,93,0.1717225006594566,0.5698924731182796,1.2447342133711725,0.047329757036833904,4.401667404425553,-3.1240449263158463,45,48,
B-fine,first-30m,ge0.5atr,next_bar_open,atr_1.5,1.5R,exclude_gap_fill,93,0,64,0.11817462410973359,0.5,0.8220206330511564,-0.04049388148732995,-2.5916084151891168,-3.5312709185846667,32,32,
B-fine,first-30m,ge0.5atr,next_bar_open,atr_1.5,2R,none,93,0,93,0.1717225006594566,0.5698924731182796,1.1804804390656345,0.03490356012431474,3.246031091561271,-3.1240449263158463,45,48,
B-fine,first-30m,ge0.5atr,next_bar_open,atr_1.5,2R,vwap_slope_agreement,93,0,93,0.1717225006594566,0.5698924731182796,1.1804804390656345,0.03490356012431474,3.246031091561271,-3.1240449263158463,45,48,
B-fine,first-30m,ge0.5atr,next_bar_open,atr_1.5,2R,exclude_gap_fill,93,0,64,0.11817462410973359,0.5,0.7871277704034941,-0.04843270871787204,-3.0996933579438104,-3.613301436788906,32,32,
B-fine,first-30m,ge0.5atr,next_bar_open,atr_1.5,drive_extension_1.0x,none,93,0,93,0.1717225006594566,0.6021505376344086,1.3212029032673265,0.05695670784088617,5.296973829202414,-2.038221108749518,45,48,
B-fine,first-30m,ge0.5atr,next_bar_open,atr_1.5,drive_extension_1.0x,vwap_slope_agreement,93,0,93,0.1717225006594566,0.6021505376344086,1.3212029032673265,0.05695670784088617,5.296973829202414,-2.038221108749518,45,48,
B-fine,first-30m,ge0.5atr,next_bar_open,atr_1.5,drive_extension_1.0x,exclude_gap_fill,93,0,64,0.11817462410973359,0.546875,0.9777854081428246,-0.0045355383006903185,-0.2902744512441804,-2.392797393014516,32,32,
B-fine,first-30m,ge0.5atr,next_bar_open,atr_1.5,trail_3.5xATR,none,93,0,93,0.1717225006594566,0.44086021505376344,1.060323658048285,0.008955521207581892,0.8328634723051159,-3.483937931187645,45,48,
B-fine,first-30m,ge0.5atr,next_bar_open,atr_1.5,trail_3.5xATR,vwap_slope_agreement,93,0,93,0.1717225006594566,0.44086021505376344,1.060323658048285,0.008955521207581892,0.8328634723051159,-3.483937931187645,45,48,
B-fine,first-30m,ge0.5atr,next_bar_open,atr_1.5,trail_3.5xATR,exclude_gap_fill,93,0,64,0.11817462410973359,0.390625,0.8758121948695007,-0.018060028124261406,-1.15584179995273,-2.9352630827848296,32,32,
B-fine,first-30m,ge0.5atr,pullback_vwap,atr_1.5,1.5R,vwap_slope_agreement,93,39,54,0.09970983909258771,0.6296296296296297,1.3696037185176453,0.06627799074582755,3.579011500274688,-1.8793099078038358,23,31,
B-fine,first-30m,ge0.5atr,pullback_vwap,atr_1.5,1.5R,exclude_gap_fill,93,39,34,0.06278026905829596,0.5588235294117647,1.059910624149558,0.012084932520848702,0.41088770570885585,-1.8521636905437164,15,19,
B-fine,first-30m,ge0.5atr,pullback_vwap,atr_1.5,2R,none,93,39,54,0.09970983909258771,0.6296296296296297,1.4212386068784797,0.07553725000508693,4.079011500274694,-1.8793099078038358,23,31,
B-fine,first-30m,ge0.5atr,pullback_vwap,atr_1.5,2R,vwap_slope_agreement,93,39,54,0.09970983909258771,0.6296296296296297,1.4212386068784797,0.07553725000508693,4.079011500274694,-1.8793099078038358,23,31,
B-fine,first-30m,ge0.5atr,pullback_vwap,atr_1.5,2R,exclude_gap_fill,93,39,34,0.06278026905829596,0.5588235294117647,1.132814514089757,0.026790814873790085,0.9108877057088629,-1.8521636905437164,15,19,
B-fine,first-30m,ge0.5atr,pullback_vwap,atr_1.5,drive_extension_1.0x,none,93,39,54,0.09970983909258771,0.6481481481481481,1.4413123249768587,0.07401831003967108,3.9969887421422383,-1.5164242868792508,23,31,
B-fine,first-30m,ge0.5atr,pullback_vwap,atr_1.5,drive_extension_1.0x,vwap_slope_agreement,93,39,54,0.09970983909258771,0.6481481481481481,1.4413123249768587,0.07401831003967108,3.9969887421422383,-1.5164242868792508,23,31,
B-fine,first-30m,ge0.5atr,pullback_vwap,atr_1.5,drive_extension_1.0x,exclude_gap_fill,93,39,34,0.06278026905829596,0.5588235294117647,0.9226228167464724,-0.015608217266071155,-0.5306793870464193,-2.104766934119762,15,19,
B-fine,first-30m,ge0.5atr,pullback_vwap,atr_1.5,trail_3.5xATR,none,93,39,54,0.09970983909258771,0.5370370370370371,1.2197686935520353,0.030198929773171262,1.6307422077512481,-1.5615041462014307,23,31,
B-fine,first-30m,ge0.5atr,pullback_vwap,atr_1.5,trail_3.5xATR,vwap_slope_agreement,93,39,54,0.09970983909258771,0.5370370370370371,1.2197686935520353,0.030198929773171262,1.6307422077512481,-1.5615041462014307,23,31,
B-fine,first-30m,ge0.5atr,pullback_vwap,atr_1.5,trail_3.5xATR,exclude_gap_fill,93,39,34,0.06278026905829596,0.5294117647058824,1.0727406426480017,0.010278094350038096,0.34945520790129525,-1.457034086124668,15,19,
