level,side,event_type,entry_type,stop_type,exit_type,filter,n,tr_wk,wr,pf,expR,totR,maxDD_R,n_no_retest_skip,flag
pdl,lower,break_and_retest,next_bar_open,beyond_extreme_2tk,prior_day_mid,vwap_slope_agreement,0,0.0,,,,0.0,0.0,0,insufficient_n
pdl,lower,break_and_retest,next_bar_open,beyond_extreme_2tk,1.5R,none,1054,1.945,0.3795,0.4015,-0.5652,-595.728,-600.501,0,dead
pdl,lower,break_and_retest,next_bar_open,beyond_extreme_2tk,1.5R,ny_am_only,369,0.681,0.374,0.4214,-0.545,-201.106,-206.199,0,dead
pdl,lower,break_and_retest,next_bar_open,beyond_extreme_2tk,1.5R,vwap_slope_agreement,725,1.338,0.3931,0.4372,-0.5134,-372.185,-377.036,0,dead
pdl,lower,break_and_retest,next_bar_open,beyond_extreme_2tk,2R,none,1054,1.945,0.3188,0.4439,-0.5781,-609.266,-614.93,0,dead
pdl,lower,break_and_retest,next_bar_open,beyond_extreme_2tk,2R,ny_am_only,369,0.681,0.3089,0.4362,-0.5883,-217.076,-222.522,0,dead
pdl,lower,break_and_retest,next_bar_open,beyond_extreme_2tk,2R,vwap_slope_agreement,725,1.338,0.3338,0.4882,-0.5135,-372.279,-377.13,0,dead
pdl,lower,break_and_retest,next_bar_open,1.0xATR,vwap,none,244,0.45,0.4057,0.4769,-0.3311,-80.787,-85.414,0,dead
pdl,lower,break_and_retest,next_bar_open,1.0xATR,vwap,ny_am_only,86,0.159,0.4302,0.5717,-0.1785,-15.35,-16.798,0,sub_floor
pdl,lower,break_and_retest,next_bar_open,1.0xATR,vwap,vwap_slope_agreement,48,0.089,0.375,0.2586,-0.3353,-16.095,-17.744,0,sub_floor
pdl,lower,break_and_retest,next_bar_open,1.0xATR,prior_day_mid,none,0,0.0,,,,0.0,0.0,0,insufficient_n
pdl,lower,break_and_retest,next_bar_open,1.0xATR,prior_day_mid,ny_am_only,0,0.0,,,,0.0,0.0,0,insufficient_n
pdl,lower,break_and_retest,next_bar_open,1.0xATR,prior_day_mid,vwap_slope_agreement,0,0.0,,,,0.0,0.0,0,insufficient_n
pdl,lower,break_and_retest,next_bar_open,1.0xATR,1.5R,none,1054,1.945,0.3947,0.5972,-0.3129,-329.827,-336.12,0,dead
pdl,lower,break_and_retest,next_bar_open,1.0xATR,1.5R,ny_am_only,369,0.681,0.374,0.624,-0.2892,-106.725,-121.26,0,dead
pdl,lower,break_and_retest,next_bar_open,1.0xATR,1.5R,vwap_slope_agreement,725,1.338,0.3917,0.6023,-0.3072,-222.709,-225.444,0,dead
pdl,lower,break_and_retest,next_bar_open,1.0xATR,2R,none,1054,1.945,0.3349,0.6312,-0.3158,-332.852,-345.108,0,dead
pdl,lower,break_and_retest,next_bar_open,1.0xATR,2R,ny_am_only,369,0.681,0.3252,0.7031,-0.2451,-90.435,-109.977,0,dead
pdl,lower,break_and_retest,next_bar_open,1.0xATR,2R,vwap_slope_agreement,725,1.338,0.3366,0.6476,-0.2977,-215.847,-224.581,0,dead
pdl,lower,break_and_retest,retest_limit,beyond_extreme_2tk,vwap,none,273,0.504,0.3004,0.5054,-0.5785,-157.943,-168.632,165,dead
pdl,lower,break_and_retest,retest_limit,beyond_extreme_2tk,vwap,ny_am_only,107,0.197,0.3738,0.6139,-0.3569,-38.189,-48.681,52,sub_floor
pdl,lower,break_and_retest,retest_limit,beyond_extreme_2tk,vwap,vwap_slope_agreement,62,0.114,0.2581,0.2894,-0.7198,-44.625,-42.298,116,sub_floor
pdl,lower,break_and_retest,retest_limit,beyond_extreme_2tk,prior_day_mid,none,0,0.0,,,,0.0,0.0,165,insufficient_n
pdl,lower,break_and_retest,retest_limit,beyond_extreme_2tk,prior_day_mid,ny_am_only,0,0.0,,,,0.0,0.0,52,insufficient_n
pdl,lower,break_and_retest,retest_limit,beyond_extreme_2tk,prior_day_mid,vwap_slope_agreement,0,0.0,,,,0.0,0.0,116,insufficient_n
pdl,lower,break_and_retest,retest_limit,beyond_extreme_2tk,1.5R,none,905,1.67,0.5028,0.5052,-0.3744,-338.798,-352.202,165,dead
pdl,lower,break_and_retest,retest_limit,beyond_extreme_2tk,1.5R,ny_am_only,317,0.585,0.5331,0.6086,-0.2693,-85.384,-91.533,52,dead
pdl,lower,break_and_retest,retest_limit,beyond_extreme_2tk,1.5R,vwap_slope_agreement,622,1.148,0.5048,0.5297,-0.3521,-219.016,-228.963,116,dead
pdl,lower,break_and_retest,retest_limit,beyond_extreme_2tk,2R,none,905,1.67,0.4961,0.5899,-0.3718,-336.453,-360.636,165,dead
pdl,lower,break_and_retest,retest_limit,beyond_extreme_2tk,2R,ny_am_only,317,0.585,0.5268,0.7035,-0.241,-76.384,-92.114,52,dead
pdl,lower,break_and_retest,retest_limit,beyond_extreme_2tk,2R,vwap_slope_agreement,622,1.148,0.4936,0.6004,-0.3636,-226.172,-249.3,116,dead
pdl,lower,break_and_retest,retest_limit,1.0xATR,vwap,none,273,0.504,0.4689,0.5135,-0.2491,-68.018,-74.391,165,dead
pdl,lower,break_and_retest,retest_limit,1.0xATR,vwap,ny_am_only,107,0.197,0.5327,0.7571,-0.0737,-7.888,-12.722,52,sub_floor
pdl,lower,break_and_retest,retest_limit,1.0xATR,vwap,vwap_slope_agreement,62,0.114,0.4677,0.603,-0.1027,-6.365,-8.964,116,sub_floor
pdl,lower,break_and_retest,retest_limit,1.0xATR,prior_day_mid,none,0,0.0,,,,0.0,0.0,165,insufficient_n
pdl,lower,break_and_retest,retest_limit,1.0xATR,prior_day_mid,ny_am_only,0,0.0,,,,0.0,0.0,52,insufficient_n
pdl,lower,break_and_retest,retest_limit,1.0xATR,prior_day_mid,vwap_slope_agreement,0,0.0,,,,0.0,0.0,116,insufficient_n
pdl,lower,break_and_retest,retest_limit,1.0xATR,1.5R,none,905,1.67,0.3912,0.5893,-0.3223,-291.665,-307.102,165,dead
pdl,lower,break_and_retest,retest_limit,1.0xATR,1.5R,ny_am_only,317,0.585,0.3691,0.618,-0.2929,-92.841,-110.57,52,dead
pdl,lower,break_and_retest,retest_limit,1.0xATR,1.5R,vwap_slope_agreement,622,1.148,0.3971,0.6197,-0.2933,-182.409,-204.748,116,dead
pdl,lower,break_and_retest,retest_limit,1.0xATR,2R,none,905,1.67,0.3271,0.5915,-0.3532,-319.623,-327.3,165,dead
pdl,lower,break_and_retest,retest_limit,1.0xATR,2R,ny_am_only,317,0.585,0.306,0.6398,-0.3037,-96.27,-114.004,52,dead
pdl,lower,break_and_retest,retest_limit,1.0xATR,2R,vwap_slope_agreement,622,1.148,0.3296,0.6166,-0.3281,-204.1,-211.338,116,dead
pdl,lower,first_touch_rejection,next_bar_open,beyond_extreme_2tk,vwap,none,509,0.939,0.2927,0.454,-0.4969,-252.945,-251.696,0,dead
pdl,lower,first_touch_rejection,next_bar_open,beyond_extreme_2tk,vwap,ny_am_only,281,0.518,0.3167,0.4015,-0.5355,-150.473,-148.945,0,dead
pdl,lower,first_touch_rejection,next_bar_open,beyond_extreme_2tk,vwap,vwap_slope_agreement,7,0.013,0.4286,0.4013,-0.5398,-3.778,-2.368,0,sub_floor
pdl,lower,first_touch_rejection,next_bar_open,beyond_extreme_2tk,prior_day_mid,none,916,1.69,0.2817,0.542,-0.4197,-384.469,-384.692,0,dead
pdl,lower,first_touch_rejection,next_bar_open,beyond_extreme_2tk,prior_day_mid,ny_am_only,604,1.114,0.2815,0.5543,-0.4126,-249.232,-249.455,0,dead
pdl,lower,first_touch_rejection,next_bar_open,beyond_extreme_2tk,prior_day_mid,vwap_slope_agreement,158,0.292,0.2911,0.4728,-0.4304,-67.996,-67.278,0,sub_floor
pdl,lower,first_touch_rejection,next_bar_open,beyond_extreme_2tk,1.5R,none,919,1.696,0.3874,0.5815,-0.3261,-299.697,-300.72,0,dead
pdl,lower,first_touch_rejection,next_bar_open,beyond_extreme_2tk,1.5R,ny_am_only,607,1.12,0.3855,0.5889,-0.3255,-197.59,-198.517,0,dead
pdl,lower,first_touch_rejection,next_bar_open,beyond_extreme_2tk,1.5R,vwap_slope_agreement,160,0.295,0.3438,0.4777,-0.4107,-65.706,-64.988,0,sub_floor
pdl,lower,first_touch_rejection,next_bar_open,beyond_extreme_2tk,2R,none,919,1.696,0.3275,0.6051,-0.3359,-308.681,-309.78,0,dead
pdl,lower,first_touch_rejection,next_bar_open,beyond_extreme_2tk,2R,ny_am_only,607,1.12,0.3196,0.6076,-0.3411,-207.068,-207.571,0,dead
pdl,lower,first_touch_rejection,next_bar_open,beyond_extreme_2tk,2R,vwap_slope_agreement,160,0.295,0.2875,0.4729,-0.4451,-71.215,-71.361,0,sub_floor
pdl,lower,first_touch_rejection,next_bar_open,1.0xATR,vwap,none,509,0.939,0.3576,0.5507,-0.331,-168.478,-169.852,0,dead
pdl,lower,first_touch_rejection,next_bar_open,1.0xATR,vwap,ny_am_only,281,0.518,0.427,0.5877,-0.2463,-69.214,-68.61,0,dead
pdl,lower,first_touch_rejection,next_bar_open,1.0xATR,vwap,vwap_slope_agreement,7,0.013,0.4286,0.3794,-0.4603,-3.222,-2.211,0,sub_floor
pdl,lower,first_touch_rejection,next_bar_open,1.0xATR,prior_day_mid,none,916,1.69,0.3199,0.6669,-0.2757,-252.508,-254.864,0,dead
pdl,lower,first_touch_rejection,next_bar_open,1.0xATR,prior_day_mid,ny_am_only,604,1.114,0.351,0.7789,-0.1694,-102.342,-107.358,0,dead
pdl,lower,first_touch_rejection,next_bar_open,1.0xATR,prior_day_mid,vwap_slope_agreement,158,0.292,0.2722,0.5002,-0.4431,-70.013,-70.997,0,sub_floor
pdl,lower,first_touch_rejection,next_bar_open,1.0xATR,1.5R,none,919,1.696,0.3983,0.6689,-0.2435,-223.763,-228.21,0,dead
pdl,lower,first_touch_rejection,next_bar_open,1.0xATR,1.5R,ny_am_only,607,1.12,0.4086,0.7398,-0.1833,-111.263,-113.105,0,dead
pdl,lower,first_touch_rejection,next_bar_open,1.0xATR,1.5R,vwap_slope_agreement,160,0.295,0.3625,0.5192,-0.3932,-62.92,-64.265,0,sub_floor
pdl,lower,first_touch_rejection,next_bar_open,1.0xATR,2R,none,919,1.696,0.3297,0.6737,-0.2673,-245.663,-247.11,0,dead
pdl,lower,first_touch_rejection,next_bar_open,1.0xATR,2R,ny_am_only,607,1.12,0.3328,0.7208,-0.2218,-134.636,-138.101,0,dead
pdl,lower,first_touch_rejection,next_bar_open,1.0xATR,2R,vwap_slope_agreement,160,0.295,0.2875,0.5106,-0.4464,-71.42,-71.173,0,sub_floor
pdl,lower,first_touch_rejection,retest_limit,beyond_extreme_2tk,vwap,none,509,0.939,0.2809,0.4619,-0.6134,-312.215,-310.548,174,dead
pdl,lower,first_touch_rejection,retest_limit,beyond_extreme_2tk,vwap,ny_am_only,318,0.587,0.3396,0.5244,-0.488,-155.184,-153.518,106,dead
pdl,lower,first_touch_rejection,retest_limit,beyond_extreme_2tk,vwap,vwap_slope_agreement,7,0.013,0.2857,0.6369,-0.4418,-3.093,-2.13,35,sub_floor
pdl,lower,first_touch_rejection,retest_limit,beyond_extreme_2tk,prior_day_mid,none,755,1.393,0.1801,0.4432,-0.7105,-536.434,-534.767,174,dead
pdl,lower,first_touch_rejection,retest_limit,beyond_extreme_2tk,prior_day_mid,ny_am_only,501,0.924,0.1756,0.4862,-0.6534,-327.337,-325.67,106,dead
pdl,lower,first_touch_rejection,retest_limit,beyond_extreme_2tk,prior_day_mid,vwap_slope_agreement,128,0.236,0.2188,0.5063,-0.5188,-66.405,-65.759,35,sub_floor
pdl,lower,first_touch_rejection,retest_limit,beyond_extreme_2tk,1.5R,none,755,1.393,0.4781,0.6559,-0.248,-187.22,-186.634,174,dead
pdl,lower,first_touch_rejection,retest_limit,beyond_extreme_2tk,1.5R,ny_am_only,501,0.924,0.481,0.6793,-0.2268,-113.632,-113.583,106,dead
pdl,lower,first_touch_rejection,retest_limit,beyond_extreme_2tk,1.5R,vwap_slope_agreement,128,0.236,0.4453,0.648,-0.2581,-33.035,-35.199,35,sub_floor
pdl,lower,first_touch_rejection,retest_limit,beyond_extreme_2tk,2R,none,755,1.393,0.4252,0.7013,-0.2508,-189.338,-191.25,174,dead
pdl,lower,first_touch_rejection,retest_limit,beyond_extreme_2tk,2R,ny_am_only,501,0.924,0.4172,0.688,-0.2645,-132.528,-132.941,106,dead
pdl,lower,first_touch_rejection,retest_limit,beyond_extreme_2tk,2R,vwap_slope_agreement,128,0.236,0.3516,0.6084,-0.3334,-42.678,-43.862,35,sub_floor
pdl,lower,first_touch_rejection,retest_limit,1.0xATR,vwap,none,509,0.939,0.4263,0.6986,-0.193,-98.222,-106.193,174,dead
pdl,lower,first_touch_rejection,retest_limit,1.0xATR,vwap,ny_am_only,318,0.587,0.5063,0.6834,-0.1559,-49.573,-54.489,106,dead
pdl,lower,first_touch_rejection,retest_limit,1.0xATR,vwap,vwap_slope_agreement,7,0.013,0.4286,0.5516,-0.3136,-2.195,-1.165,35,sub_floor
pdl,lower,first_touch_rejection,retest_limit,1.0xATR,prior_day_mid,none,755,1.393,0.306,0.7229,-0.234,-176.672,-176.466,174,dead
pdl,lower,first_touch_rejection,retest_limit,1.0xATR,prior_day_mid,ny_am_only,501,0.924,0.3253,0.7902,-0.1666,-83.459,-85.964,106,dead
pdl,lower,first_touch_rejection,retest_limit,1.0xATR,prior_day_mid,vwap_slope_agreement,128,0.236,0.2578,0.5141,-0.4489,-57.46,-56.306,35,sub_floor
pdl,lower,first_touch_rejection,retest_limit,1.0xATR,1.5R,none,755,1.393,0.4159,0.7246,-0.1972,-148.905,-152.625,174,dead
pdl,lower,first_touch_rejection,retest_limit,1.0xATR,1.5R,ny_am_only,501,0.924,0.4271,0.805,-0.1327,-66.464,-69.471,106,dead
pdl,lower,first_touch_rejection,retest_limit,1.0xATR,1.5R,vwap_slope_agreement,128,0.236,0.3516,0.5189,-0.4004,-51.251,-53.911,35,sub_floor
pdl,lower,first_touch_rejection,retest_limit,1.0xATR,2R,none,755,1.393,0.3391,0.7057,-0.2371,-178.997,-177.74,174,dead
pdl,lower,first_touch_rejection,retest_limit,1.0xATR,2R,ny_am_only,501,0.924,0.3433,0.7524,-0.1923,-96.329,-97.046,106,dead
pdl,lower,first_touch_rejection,retest_limit,1.0xATR,2R,vwap_slope_agreement,128,0.236,0.2656,0.4914,-0.4717,-60.372,-66.45,35,sub_floor
pdl,lower,sweep_and_close_back_inside,next_bar_open,beyond_extreme_2tk,vwap,none,1727,3.186,0.337,0.515,-0.3516,-607.129,-607.697,0,dead
pdl,lower,sweep_and_close_back_inside,next_bar_open,beyond_extreme_2tk,vwap,ny_am_only,552,1.018,0.3442,0.4399,-0.3779,-208.628,-207.872,0,dead
pdl,lower,sweep_and_close_back_inside,next_bar_open,beyond_extreme_2tk,vwap,vwap_slope_agreement,105,0.194,0.2381,0.189,-0.5205,-54.652,-53.257,0,sub_floor
pdl,lower,sweep_and_close_back_inside,next_bar_open,beyond_extreme_2tk,prior_day_mid,none,3202,5.908,0.2804,0.6316,-0.327,-1047.008,-1051.673,0,dead
pdl,lower,sweep_and_close_back_inside,next_bar_open,beyond_extreme_2tk,prior_day_mid,ny_am_only,1305,2.408,0.2889,0.6755,-0.284,-370.645,-370.868,0,dead
pdl,lower,sweep_and_close_back_inside,next_bar_open,beyond_extreme_2tk,prior_day_mid,vwap_slope_agreement,933,1.721,0.2529,0.5399,-0.4259,-397.372,-419.168,0,dead
pdl,lower,sweep_and_close_back_inside,next_bar_open,beyond_extreme_2tk,1.5R,none,3217,5.935,0.4001,0.6378,-0.2652,-853.213,-854.238,0,dead
pdl,lower,sweep_and_close_back_inside,next_bar_open,beyond_extreme_2tk,1.5R,ny_am_only,1313,2.423,0.4006,0.679,-0.2364,-310.423,-308.923,0,dead
pdl,lower,sweep_and_close_back_inside,next_bar_open,beyond_extreme_2tk,1.5R,vwap_slope_agreement,943,1.74,0.3796,0.5745,-0.3231,-304.663,-309.341,0,dead
pdl,lower,sweep_and_close_back_inside,next_bar_open,beyond_extreme_2tk,2R,none,3217,5.935,0.3388,0.6526,-0.2797,-899.751,-901.776,0,dead
pdl,lower,sweep_and_close_back_inside,next_bar_open,beyond_extreme_2tk,2R,ny_am_only,1313,2.423,0.3305,0.6842,-0.2581,-338.823,-337.823,0,dead
pdl,lower,sweep_and_close_back_inside,next_bar_open,beyond_extreme_2tk,2R,vwap_slope_agreement,943,1.74,0.3203,0.5958,-0.3353,-316.144,-325.837,0,dead
pdl,lower,sweep_and_close_back_inside,next_bar_open,1.0xATR,vwap,none,1727,3.186,0.3798,0.5564,-0.2791,-482.015,-483.645,0,dead
pdl,lower,sweep_and_close_back_inside,next_bar_open,1.0xATR,vwap,ny_am_only,552,1.018,0.4167,0.5012,-0.2548,-140.658,-139.401,0,dead
pdl,lower,sweep_and_close_back_inside,next_bar_open,1.0xATR,vwap,vwap_slope_agreement,105,0.194,0.3714,0.3418,-0.2631,-27.63,-26.358,0,sub_floor
pdl,lower,sweep_and_close_back_inside,next_bar_open,1.0xATR,prior_day_mid,none,3202,5.908,0.3011,0.6841,-0.2633,-842.936,-845.926,0,dead
pdl,lower,sweep_and_close_back_inside,next_bar_open,1.0xATR,prior_day_mid,ny_am_only,1305,2.408,0.3364,0.7915,-0.1607,-209.693,-233.276,0,dead
pdl,lower,sweep_and_close_back_inside,next_bar_open,1.0xATR,prior_day_mid,vwap_slope_agreement,933,1.721,0.2701,0.6159,-0.3368,-314.223,-325.69,0,dead
pdl,lower,sweep_and_close_back_inside,next_bar_open,1.0xATR,1.5R,none,3217,5.935,0.4057,0.7001,-0.2129,-684.951,-686.36,0,dead
pdl,lower,sweep_and_close_back_inside,next_bar_open,1.0xATR,1.5R,ny_am_only,1313,2.423,0.4128,0.781,-0.1507,-197.932,-196.774,0,dead
pdl,lower,sweep_and_close_back_inside,next_bar_open,1.0xATR,1.5R,vwap_slope_agreement,943,1.74,0.3924,0.6535,-0.2548,-240.303,-247.442,0,dead
pdl,lower,sweep_and_close_back_inside,next_bar_open,1.0xATR,2R,none,3217,5.935,0.3382,0.7087,-0.2299,-739.53,-741.915,0,dead
pdl,lower,sweep_and_close_back_inside,next_bar_open,1.0xATR,2R,ny_am_only,1313,2.423,0.3298,0.7451,-0.1999,-262.515,-264.166,0,dead
pdl,lower,sweep_and_close_back_inside,next_bar_open,1.0xATR,2R,vwap_slope_agreement,943,1.74,0.3203,0.6523,-0.2845,-268.272,-281.536,0,dead
pdl,lower,sweep_and_close_back_inside,retest_limit,beyond_extreme_2tk,vwap,none,1764,3.255,0.3328,0.6087,-0.3301,-582.373,-590.082,593,dead
pdl,lower,sweep_and_close_back_inside,retest_limit,beyond_extreme_2tk,vwap,ny_am_only,658,1.214,0.3936,0.6291,-0.2623,-172.597,-176.523,224,dead
pdl,lower,sweep_and_close_back_inside,retest_limit,beyond_extreme_2tk,vwap,vwap_slope_agreement,152,0.28,0.3289,0.4242,-0.3702,-56.274,-58.569,177,sub_floor
pdl,lower,sweep_and_close_back_inside,retest_limit,beyond_extreme_2tk,prior_day_mid,none,2684,4.952,0.1908,0.5965,-0.4635,-1244.01,-1259.36,593,dead
pdl,lower,sweep_and_close_back_inside,retest_limit,beyond_extreme_2tk,prior_day_mid,ny_am_only,1089,2.009,0.1892,0.6588,-0.3885,-423.131,-421.464,224,dead
pdl,lower,sweep_and_close_back_inside,retest_limit,beyond_extreme_2tk,prior_day_mid,vwap_slope_agreement,788,1.454,0.1675,0.5031,-0.5932,-467.417,-509.549,177,dead
pdl,lower,sweep_and_close_back_inside,retest_limit,beyond_extreme_2tk,1.5R,none,2684,4.952,0.5261,0.8253,-0.1135,-304.598,-310.907,593,dead
pdl,lower,sweep_and_close_back_inside,retest_limit,beyond_extreme_2tk,1.5R,ny_am_only,1089,2.009,0.5225,0.8571,-0.0934,-101.669,-131.452,224,dead
pdl,lower,sweep_and_close_back_inside,retest_limit,beyond_extreme_2tk,1.5R,vwap_slope_agreement,788,1.454,0.5241,0.7919,-0.1369,-107.844,-120.56,177,dead
pdl,lower,sweep_and_close_back_inside,retest_limit,beyond_extreme_2tk,2R,none,2684,4.952,0.44,0.8442,-0.1205,-323.415,-326.64,593,dead
pdl,lower,sweep_and_close_back_inside,retest_limit,beyond_extreme_2tk,2R,ny_am_only,1089,2.009,0.438,0.8832,-0.0901,-98.066,-141.234,224,dead
pdl,lower,sweep_and_close_back_inside,retest_limit,beyond_extreme_2tk,2R,vwap_slope_agreement,788,1.454,0.4315,0.7895,-0.166,-130.773,-137.409,177,dead
pdl,lower,sweep_and_close_back_inside,retest_limit,1.0xATR,vwap,none,1764,3.255,0.4314,0.6603,-0.1924,-339.402,-360.8,593,dead
pdl,lower,sweep_and_close_back_inside,retest_limit,1.0xATR,vwap,ny_am_only,658,1.214,0.5182,0.7069,-0.1202,-79.108,-81.525,224,dead
pdl,lower,sweep_and_close_back_inside,retest_limit,1.0xATR,vwap,vwap_slope_agreement,152,0.28,0.4605,0.5762,-0.1344,-20.433,-20.381,177,sub_floor
pdl,lower,sweep_and_close_back_inside,retest_limit,1.0xATR,prior_day_mid,none,2684,4.952,0.288,0.6989,-0.254,-681.621,-684.601,593,dead
pdl,lower,sweep_and_close_back_inside,retest_limit,1.0xATR,prior_day_mid,ny_am_only,1089,2.009,0.3269,0.8725,-0.0993,-108.116,-140.881,224,dead
pdl,lower,sweep_and_close_back_inside,retest_limit,1.0xATR,prior_day_mid,vwap_slope_agreement,788,1.454,0.2589,0.6156,-0.338,-266.306,-277.481,177,dead
pdl,lower,sweep_and_close_back_inside,retest_limit,1.0xATR,1.5R,none,2684,4.952,0.4206,0.7511,-0.171,-459.037,-462.342,593,dead
pdl,lower,sweep_and_close_back_inside,retest_limit,1.0xATR,1.5R,ny_am_only,1089,2.009,0.4444,0.8943,-0.0688,-74.893,-74.899,224,dead
pdl,lower,sweep_and_close_back_inside,retest_limit,1.0xATR,1.5R,vwap_slope_agreement,788,1.454,0.3934,0.663,-0.2433,-191.706,-203.707,177,dead
pdl,lower,sweep_and_close_back_inside,retest_limit,1.0xATR,2R,none,2684,4.952,0.3443,0.7338,-0.2061,-553.176,-562.196,593,dead
pdl,lower,sweep_and_close_back_inside,retest_limit,1.0xATR,2R,ny_am_only,1089,2.009,0.3554,0.8381,-0.1212,-131.971,-130.714,224,dead
pdl,lower,sweep_and_close_back_inside,retest_limit,1.0xATR,2R,vwap_slope_agreement,788,1.454,0.3198,0.6583,-0.2756,-217.148,-231.225,177,dead
prior_close,lower,break_and_retest,next_bar_open,beyond_extreme_2tk,vwap,none,730,1.347,0.2644,0.2839,-0.8573,-625.862,-625.261,0,dead
prior_close,lower,break_and_retest,next_bar_open,beyond_extreme_2tk,vwap,ny_am_only,253,0.467,0.2806,0.1792,-0.8539,-216.043,-214.128,0,dead
prior_close,lower,break_and_retest,next_bar_open,beyond_extreme_2tk,vwap,vwap_slope_agreement,111,0.205,0.2973,0.1696,-0.8674,-96.284,-98.426,0,sub_floor
prior_close,lower,break_and_retest,next_bar_open,beyond_extreme_2tk,prior_day_mid,none,1000,1.845,0.21,0.3616,-0.8808,-880.768,-899.935,0,dead
prior_close,lower,break_and_retest,next_bar_open,beyond_extreme_2tk,prior_day_mid,ny_am_only,385,0.71,0.2338,0.3817,-0.7866,-302.847,-301.491,0,dead
prior_close,lower,break_and_retest,next_bar_open,beyond_extreme_2tk,prior_day_mid,vwap_slope_agreement,508,0.937,0.2205,0.3929,-0.8123,-412.656,-440.978,0,dead
prior_close,lower,break_and_retest,next_bar_open,beyond_extreme_2tk,1.5R,none,1817,3.352,0.3522,0.3029,-0.7401,-1344.718,-1350.579,0,dead
prior_close,lower,break_and_retest,next_bar_open,beyond_extreme_2tk,1.5R,ny_am_only,711,1.312,0.3741,0.3564,-0.6493,-461.684,-466.414,0,dead
prior_close,lower,break_and_retest,next_bar_open,beyond_extreme_2tk,1.5R,vwap_slope_agreement,933,1.721,0.3591,0.3227,-0.7108,-663.212,-668.421,0,dead
