feature,label,quintile,rule,is_hit,is_n,oos_hit,oos_n
gap,L1_first30m,bottom20,predict_up,0.569,360,0.562,276
gap,L1_first30m,bottom20,predict_down,0.431,360,0.438,276
gap,L1_first30m,top20,predict_up,0.511,360,0.542,323
gap,L1_first30m,top20,predict_down,0.489,360,0.458,323
gap,L2_mid,bottom20,predict_up,0.507,359,0.542,273
gap,L2_mid,bottom20,predict_down,0.493,359,0.458,273
gap,L2_mid,top20,predict_up,0.563,359,0.548,323
gap,L2_mid,top20,predict_down,0.437,359,0.452,323
on_atr_ratio,L1_first30m,bottom20,predict_up,0.514,360,0.544,149
on_atr_ratio,L1_first30m,bottom20,predict_down,0.486,360,0.456,149
on_atr_ratio,L1_first30m,top20,predict_up,0.531,360,0.555,220
on_atr_ratio,L1_first30m,top20,predict_down,0.469,360,0.445,220
on_atr_ratio,L2_mid,bottom20,predict_up,0.534,358,0.628,148
on_atr_ratio,L2_mid,bottom20,predict_down,0.466,358,0.372,148
on_atr_ratio,L2_mid,top20,predict_up,0.539,360,0.562,219
on_atr_ratio,L2_mid,top20,predict_down,0.461,360,0.438,219
pm_range,L1_first30m,bottom20,predict_up,0.522,360,0.0,1
pm_range,L1_first30m,bottom20,predict_down,0.478,360,1.0,1
pm_range,L1_first30m,top20,predict_up,0.519,360,0.555,476
pm_range,L1_first30m,top20,predict_down,0.481,360,0.445,476
pm_range,L2_mid,bottom20,predict_up,0.54,359,1.0,1
pm_range,L2_mid,bottom20,predict_down,0.46,359,0.0,1
pm_range,L2_mid,top20,predict_up,0.507,359,0.566,475
pm_range,L2_mid,top20,predict_down,0.493,359,0.434,475
pd_range_pctile,L1_first30m,bottom20,predict_up,0.531,367,0.57,179
pd_range_pctile,L1_first30m,bottom20,predict_down,0.469,367,0.43,179
pd_range_pctile,L1_first30m,top20,predict_up,0.501,371,0.511,174
pd_range_pctile,L1_first30m,top20,predict_down,0.499,371,0.489,174
pd_range_pctile,L2_mid,bottom20,predict_up,0.508,366,0.528,178
pd_range_pctile,L2_mid,bottom20,predict_down,0.492,366,0.472,178
pd_range_pctile,L2_mid,top20,predict_up,0.519,372,0.607,173
pd_range_pctile,L2_mid,top20,predict_down,0.481,372,0.393,173
pd_dir,L1_first30m,bottom20,predict_up,0.552,800,0.534,382
pd_dir,L1_first30m,bottom20,predict_down,0.448,800,0.466,382
pd_dir,L1_first30m,top20,predict_up,0.522,996,0.553,488
pd_dir,L1_first30m,top20,predict_down,0.478,996,0.447,488
pd_dir,L2_mid,bottom20,predict_up,0.549,796,0.554,381
pd_dir,L2_mid,bottom20,predict_down,0.451,796,0.446,381
pd_dir,L2_mid,top20,predict_up,0.543,995,0.562,486
pd_dir,L2_mid,top20,predict_down,0.457,995,0.438,486
atr_pctile,L1_first30m,bottom20,predict_up,0.547,375,0.544,169
atr_pctile,L1_first30m,bottom20,predict_down,0.453,375,0.456,169
atr_pctile,L1_first30m,top20,predict_up,0.507,361,0.523,199
atr_pctile,L1_first30m,top20,predict_down,0.493,361,0.477,199
atr_pctile,L2_mid,bottom20,predict_up,0.517,373,0.601,168
atr_pctile,L2_mid,bottom20,predict_down,0.483,373,0.399,168
atr_pctile,L2_mid,top20,predict_up,0.565,361,0.525,198
atr_pctile,L2_mid,top20,predict_down,0.435,361,0.475,198
dist_pdh_pdl,L1_first30m,bottom20,predict_up,0.558,360,0.538,173
dist_pdh_pdl,L1_first30m,bottom20,predict_down,0.442,360,0.462,173
dist_pdh_pdl,L1_first30m,top20,predict_up,0.55,360,0.522,157
dist_pdh_pdl,L1_first30m,top20,predict_down,0.45,360,0.478,157
dist_pdh_pdl,L2_mid,bottom20,predict_up,0.519,360,0.593,172
dist_pdh_pdl,L2_mid,bottom20,predict_down,0.481,360,0.407,172
dist_pdh_pdl,L2_mid,top20,predict_up,0.526,359,0.548,157
dist_pdh_pdl,L2_mid,top20,predict_down,0.474,359,0.452,157
gap+pd_dir,L1_first30m,bottomA_bottomB,predict_up,0.597,181,0.522,115
gap+pd_dir,L1_first30m,bottomA_bottomB,predict_down,0.403,181,0.478,115
gap+pd_dir,L1_first30m,bottomA_topB,predict_up,0.542,179,0.59,161
gap+pd_dir,L1_first30m,bottomA_topB,predict_down,0.458,179,0.41,161
gap+pd_dir,L1_first30m,topA_bottomB,predict_up,0.554,166,0.542,155
gap+pd_dir,L1_first30m,topA_bottomB,predict_down,0.446,166,0.458,155
gap+pd_dir,L1_first30m,topA_topB,predict_up,0.474,194,0.542,168
gap+pd_dir,L1_first30m,topA_topB,predict_down,0.526,194,0.458,168
gap+pd_dir,L2_mid,bottomA_bottomB,predict_up,0.514,181,0.526,114
gap+pd_dir,L2_mid,bottomA_bottomB,predict_down,0.486,181,0.474,114
gap+pd_dir,L2_mid,bottomA_topB,predict_up,0.5,178,0.553,159
gap+pd_dir,L2_mid,bottomA_topB,predict_down,0.5,178,0.447,159
gap+pd_dir,L2_mid,topA_bottomB,predict_up,0.6,165,0.568,155
gap+pd_dir,L2_mid,topA_bottomB,predict_down,0.4,165,0.432,155
gap+pd_dir,L2_mid,topA_topB,predict_up,0.531,194,0.53,168
gap+pd_dir,L2_mid,topA_topB,predict_down,0.469,194,0.47,168
on_atr_ratio+atr_pctile,L1_first30m,bottomA_bottomB,predict_up,0.5,68,0.5,14
on_atr_ratio+atr_pctile,L1_first30m,bottomA_bottomB,predict_down,0.5,68,0.5,14
on_atr_ratio+atr_pctile,L1_first30m,bottomA_topB,predict_up,0.5,82,0.537,41
on_atr_ratio+atr_pctile,L1_first30m,bottomA_topB,predict_down,0.5,82,0.463,41
on_atr_ratio+atr_pctile,L1_first30m,topA_bottomB,predict_up,0.493,71,0.532,47
on_atr_ratio+atr_pctile,L1_first30m,topA_bottomB,predict_down,0.507,71,0.468,47
on_atr_ratio+atr_pctile,L1_first30m,topA_topB,predict_up,0.473,91,0.641,39
on_atr_ratio+atr_pctile,L1_first30m,topA_topB,predict_down,0.527,91,0.359,39
on_atr_ratio+atr_pctile,L2_mid,bottomA_bottomB,predict_up,0.552,67,0.643,14
on_atr_ratio+atr_pctile,L2_mid,bottomA_bottomB,predict_down,0.448,67,0.357,14
on_atr_ratio+atr_pctile,L2_mid,bottomA_topB,predict_up,0.488,82,0.561,41
on_atr_ratio+atr_pctile,L2_mid,bottomA_topB,predict_down,0.512,82,0.439,41
on_atr_ratio+atr_pctile,L2_mid,topA_bottomB,predict_up,0.549,71,0.617,47
on_atr_ratio+atr_pctile,L2_mid,topA_bottomB,predict_down,0.451,71,0.383,47
on_atr_ratio+atr_pctile,L2_mid,topA_topB,predict_up,0.538,91,0.421,38
on_atr_ratio+atr_pctile,L2_mid,topA_topB,predict_down,0.462,91,0.579,38
dist_pdh_pdl+pd_range_pctile,L1_first30m,bottomA_bottomB,predict_up,0.505,91,0.622,45
dist_pdh_pdl+pd_range_pctile,L1_first30m,bottomA_bottomB,predict_down,0.495,91,0.378,45
dist_pdh_pdl+pd_range_pctile,L1_first30m,bottomA_topB,predict_up,0.611,90,0.475,40
dist_pdh_pdl+pd_range_pctile,L1_first30m,bottomA_topB,predict_down,0.389,90,0.525,40
dist_pdh_pdl+pd_range_pctile,L1_first30m,topA_bottomB,predict_up,0.521,96,0.49,49
dist_pdh_pdl+pd_range_pctile,L1_first30m,topA_bottomB,predict_down,0.479,96,0.51,49
dist_pdh_pdl+pd_range_pctile,L1_first30m,topA_topB,predict_up,0.447,38,0.5,22
dist_pdh_pdl+pd_range_pctile,L1_first30m,topA_topB,predict_down,0.553,38,0.5,22
dist_pdh_pdl+pd_range_pctile,L2_mid,bottomA_bottomB,predict_up,0.462,91,0.6,45
dist_pdh_pdl+pd_range_pctile,L2_mid,bottomA_bottomB,predict_down,0.538,91,0.4,45
dist_pdh_pdl+pd_range_pctile,L2_mid,bottomA_topB,predict_up,0.522,90,0.615,39
dist_pdh_pdl+pd_range_pctile,L2_mid,bottomA_topB,predict_down,0.478,90,0.385,39
dist_pdh_pdl+pd_range_pctile,L2_mid,topA_bottomB,predict_up,0.469,96,0.49,49
dist_pdh_pdl+pd_range_pctile,L2_mid,topA_bottomB,predict_down,0.531,96,0.51,49
dist_pdh_pdl+pd_range_pctile,L2_mid,topA_topB,predict_up,0.447,38,0.591,22
dist_pdh_pdl+pd_range_pctile,L2_mid,topA_topB,predict_down,0.553,38,0.409,22
gap,L3_reversal_touch,bottom20,predict_reversal,0.314,277,0.367,199
gap,L3_reversal_touch,bottom20,predict_continuation,0.686,277,0.633,199
gap,L3_reversal_touch,top20,predict_reversal,0.231,277,0.293,249
gap,L3_reversal_touch,top20,predict_continuation,0.769,277,0.707,249
on_atr_ratio,L3_reversal_touch,bottom20,predict_reversal,0.375,277,0.389,113
on_atr_ratio,L3_reversal_touch,bottom20,predict_continuation,0.625,277,0.611,113
on_atr_ratio,L3_reversal_touch,top20,predict_reversal,0.278,277,0.346,159
on_atr_ratio,L3_reversal_touch,top20,predict_continuation,0.722,277,0.654,159
pm_range,L3_reversal_touch,bottom20,predict_reversal,0.347,277,,0
pm_range,L3_reversal_touch,bottom20,predict_continuation,0.653,277,,0
pm_range,L3_reversal_touch,top20,predict_reversal,0.365,277,0.36,358
pm_range,L3_reversal_touch,top20,predict_continuation,0.635,277,0.64,358
pd_range_pctile,L3_reversal_touch,bottom20,predict_reversal,0.293,283,0.366,134
pd_range_pctile,L3_reversal_touch,bottom20,predict_continuation,0.707,283,0.634,134
pd_range_pctile,L3_reversal_touch,top20,predict_reversal,0.399,293,0.42,143
pd_range_pctile,L3_reversal_touch,top20,predict_continuation,0.601,293,0.58,143
pd_dir,L3_reversal_touch,bottom20,predict_reversal,0.354,571,0.413,269
pd_dir,L3_reversal_touch,bottom20,predict_continuation,0.646,571,0.587,269
pd_dir,L3_reversal_touch,top20,predict_reversal,0.344,811,0.349,392
pd_dir,L3_reversal_touch,top20,predict_continuation,0.656,811,0.651,392
atr_pctile,L3_reversal_touch,bottom20,predict_reversal,0.353,278,0.361,122
atr_pctile,L3_reversal_touch,bottom20,predict_continuation,0.647,278,0.639,122
atr_pctile,L3_reversal_touch,top20,predict_reversal,0.366,279,0.416,161
atr_pctile,L3_reversal_touch,top20,predict_continuation,0.634,279,0.584,161
dist_pdh_pdl,L3_reversal_touch,bottom20,predict_reversal,0.296,277,0.371,132
dist_pdh_pdl,L3_reversal_touch,bottom20,predict_continuation,0.704,277,0.629,132
dist_pdh_pdl,L3_reversal_touch,top20,predict_reversal,0.141,277,0.202,124
dist_pdh_pdl,L3_reversal_touch,top20,predict_continuation,0.859,277,0.798,124
