tag,direction,n,wr,pf,expr,totr,per_year,removed_n,removed_wr,removed_totr,phi,overlap_pct,auditor_flag
NULL (baseline),baseline,435,58.6,2.306,0.4229,183.9,"{""2021"": 27.9, ""2022"": 27.8, ""2023"": 38.0, ""2024"": 18.7, ""2025"": 57.9, ""2026"": 13.6}",0,,0.0,,,False
w1_inrange_15m,keep,434,58.5,2.296,0.4204,182.4,"{""2021"": 27.9, ""2022"": 27.8, ""2023"": 38.0, ""2024"": 18.7, ""2025"": 57.9, ""2026"": 12.1}",1,100.0,1.5,-0.03,61.6,False
w1_inrange_15m,avoid,1,100.0,inf,1.4999,1.5,"{""2026"": 1.5}",434,58.5,182.4,-0.03,61.6,False
w1_inrange_30m,keep,433,58.7,2.316,0.4249,184.0,"{""2021"": 27.9, ""2022"": 27.8, ""2023"": 38.0, ""2024"": 18.7, ""2025"": 57.9, ""2026"": 13.6}",2,50.0,-0.0,-0.042,61.6,False
w1_inrange_30m,avoid,2,50.0,0.959,-0.0209,-0.0,"{""2026"": -0.0}",433,58.7,184.0,-0.042,61.6,False
w1_inrange_1h,keep,364,59.3,2.272,0.4226,153.8,"{""2021"": 21.5, ""2022"": 25.9, ""2023"": 27.9, ""2024"": 13.4, ""2025"": 50.9, ""2026"": 14.2}",71,54.9,30.1,-0.01,61.5,False
w1_inrange_1h,avoid,71,54.9,2.518,0.4242,30.1,"{""2021"": 6.5, ""2022"": 2.0, ""2023"": 10.0, ""2024"": 5.3, ""2025"": 7.0, ""2026"": -0.7}",364,59.3,153.8,-0.01,61.5,False
w1_trend_aligned_15m,keep,1,100.0,inf,1.4999,1.5,"{""2026"": 1.5}",434,58.5,182.4,0.03,100.0,False
w1_trend_aligned_15m,avoid,434,58.5,2.296,0.4204,182.4,"{""2021"": 27.9, ""2022"": 27.8, ""2023"": 38.0, ""2024"": 18.7, ""2025"": 57.9, ""2026"": 12.1}",1,100.0,1.5,0.03,100.0,False
w1_trend_aligned_30m,keep,0,0.0,,0.0,0.0,{},435,58.6,183.9,,0.0,False
w1_trend_aligned_30m,avoid,435,58.6,2.306,0.4229,183.9,"{""2021"": 27.9, ""2022"": 27.8, ""2023"": 38.0, ""2024"": 18.7, ""2025"": 57.9, ""2026"": 13.6}",0,,0.0,,0.0,False
w1_trend_aligned_1h,keep,28,57.1,2.377,0.4011,11.2,"{""2021"": 1.5, ""2022"": -1.1, ""2023"": 3.9, ""2024"": 2.5, ""2025"": 4.6, ""2026"": -0.2}",407,58.7,172.7,-0.005,60.9,False
w1_trend_aligned_1h,avoid,407,58.7,2.302,0.4244,172.7,"{""2021"": 26.5, ""2022"": 28.9, ""2023"": 34.0, ""2024"": 16.3, ""2025"": 53.3, ""2026"": 13.8}",28,57.1,11.2,-0.005,60.9,False
w1_trend_opposed_15m,keep,0,0.0,,0.0,0.0,{},435,58.6,183.9,,0.0,False
w1_trend_opposed_15m,avoid,435,58.6,2.306,0.4229,183.9,"{""2021"": 27.9, ""2022"": 27.8, ""2023"": 38.0, ""2024"": 18.7, ""2025"": 57.9, ""2026"": 13.6}",0,,0.0,,0.0,False
w1_trend_opposed_30m,keep,2,50.0,0.959,-0.0209,-0.0,"{""2026"": -0.0}",433,58.7,184.0,0.042,100.0,False
w1_trend_opposed_30m,avoid,433,58.7,2.316,0.4249,184.0,"{""2021"": 27.9, ""2022"": 27.8, ""2023"": 38.0, ""2024"": 18.7, ""2025"": 57.9, ""2026"": 13.6}",2,50.0,-0.0,0.042,100.0,False
w1_trend_opposed_1h,keep,43,53.5,2.616,0.4392,18.9,"{""2021"": 5.0, ""2022"": 3.1, ""2023"": 6.1, ""2024"": 2.9, ""2025"": 2.3, ""2026"": -0.5}",392,59.2,165.1,0.017,64.2,False
w1_trend_opposed_1h,avoid,392,59.2,2.278,0.4211,165.1,"{""2021"": 23.0, ""2022"": 24.8, ""2023"": 31.8, ""2024"": 15.9, ""2025"": 55.6, ""2026"": 14.0}",43,53.5,18.9,0.017,64.2,False
w2_spring_aligned_15m,keep,8,37.5,0.882,-0.0755,-0.6,"{""2021"": -1.0, ""2023"": -1.0, ""2024"": 0.5, ""2025"": 1.0}",427,59.0,184.5,-0.037,50.0,False
w2_spring_aligned_15m,avoid,427,59.0,2.36,0.4322,184.5,"{""2021"": 29.0, ""2022"": 27.8, ""2023"": 39.0, ""2024"": 18.3, ""2025"": 56.9, ""2026"": 13.6}",8,37.5,-0.6,-0.037,50.0,False
w2_spring_aligned_30m,keep,23,60.9,2.274,0.4536,10.4,"{""2021"": -1.6, ""2022"": 1.6, ""2023"": 3.4, ""2024"": 1.5, ""2025"": 2.5, ""2026"": 3.0}",412,58.5,173.5,-0.089,46.0,False
w2_spring_aligned_30m,avoid,412,58.5,2.308,0.4211,173.5,"{""2021"": 29.5, ""2022"": 26.2, ""2023"": 34.5, ""2024"": 17.2, ""2025"": 55.4, ""2026"": 10.5}",23,60.9,10.4,-0.089,46.0,False
w2_spring_aligned_1h,keep,16,56.2,1.475,0.2116,3.4,"{""2021"": -2.1, ""2022"": 1.5, ""2023"": 0.7, ""2024"": 0.8, ""2025"": 1.0, ""2026"": 1.5}",419,58.7,180.6,-0.075,45.7,False
w2_spring_aligned_1h,avoid,419,58.7,2.351,0.4309,180.6,"{""2021"": 30.0, ""2022"": 26.3, ""2023"": 37.3, ""2024"": 18.0, ""2025"": 56.9, ""2026"": 12.1}",16,56.2,3.4,-0.075,45.7,False
w3_upthrust_aligned_15m,keep,14,50.0,1.758,0.2834,4.0,"{""2021"": -0.2, ""2022"": 3.0, ""2023"": -2.1, ""2024"": 0.7, ""2025"": 1.5, ""2026"": 1.0}",421,58.9,180.0,-0.073,45.2,False
w3_upthrust_aligned_15m,avoid,421,58.9,2.328,0.4275,180.0,"{""2021"": 28.1, ""2022"": 24.9, ""2023"": 40.0, ""2024"": 18.0, ""2025"": 56.4, ""2026"": 12.6}",14,50.0,4.0,-0.073,45.2,False
w3_upthrust_aligned_30m,keep,29,51.7,1.984,0.3163,9.2,"{""2021"": 2.3, ""2022"": 3.0, ""2023"": -1.8, ""2024"": -0.3, ""2025"": 6.0, ""2026"": -0.0}",406,59.1,174.8,-0.101,46.0,False
w3_upthrust_aligned_30m,avoid,406,59.1,2.329,0.4305,174.8,"{""2021"": 25.6, ""2022"": 24.9, ""2023"": 39.7, ""2024"": 19.1, ""2025"": 51.9, ""2026"": 13.6}",29,51.7,9.2,-0.101,46.0,False
w3_upthrust_aligned_1h,keep,32,43.8,1.399,0.1475,4.7,"{""2021"": 1.3, ""2022"": 1.2, ""2023"": -3.0, ""2024"": 0.7, ""2025"": 5.5, ""2026"": -1.1}",403,59.8,179.2,-0.104,46.4,False
w3_upthrust_aligned_1h,avoid,403,59.8,2.39,0.4447,179.2,"{""2021"": 26.6, ""2022"": 26.7, ""2023"": 40.9, ""2024"": 18.1, ""2025"": 52.4, ""2026"": 14.6}",32,43.8,4.7,-0.104,46.4,False
w4_sos_aligned_15m,keep,165,58.2,2.084,0.3972,65.5,"{""2021"": 5.3, ""2022"": 4.2, ""2023"": 18.3, ""2024"": 6.6, ""2025"": 18.7, ""2026"": 12.5}",270,58.9,118.4,0.058,65.5,False
w4_sos_aligned_15m,avoid,270,58.9,2.474,0.4385,118.4,"{""2021"": 22.7, ""2022"": 23.7, ""2023"": 19.7, ""2024"": 12.1, ""2025"": 39.2, ""2026"": 1.1}",165,58.2,65.5,0.058,65.5,False
w4_sos_aligned_30m,keep,149,56.4,1.923,0.3523,52.5,"{""2021"": 3.0, ""2022"": 6.7, ""2023"": 16.1, ""2024"": 2.0, ""2025"": 17.4, ""2026"": 7.3}",286,59.8,131.4,0.048,65.1,False
w4_sos_aligned_30m,avoid,286,59.8,2.566,0.4596,131.4,"{""2021"": 25.0, ""2022"": 21.2, ""2023"": 21.8, ""2024"": 16.8, ""2025"": 40.5, ""2026"": 6.3}",149,56.4,52.5,0.048,65.1,False
w4_sos_aligned_1h,keep,91,51.6,1.414,0.1855,16.9,"{""2021"": 3.4, ""2022"": -0.4, ""2023"": 3.1, ""2024"": -1.1, ""2025"": 10.6, ""2026"": 1.3}",344,60.5,167.1,0.062,67.9,False
w4_sos_aligned_1h,avoid,344,60.5,2.67,0.4856,167.1,"{""2021"": 24.5, ""2022"": 28.3, ""2023"": 34.9, ""2024"": 19.9, ""2025"": 47.3, ""2026"": 12.3}",91,51.6,16.9,0.062,67.9,False
w4_sow_aligned_15m,keep,193,61.1,2.966,0.4948,95.5,"{""2021"": 15.7, ""2022"": 16.3, ""2023"": 12.8, ""2024"": 13.7, ""2025"": 35.4, ""2026"": 1.6}",242,56.6,88.4,-0.03,60.1,False
w4_sow_aligned_15m,avoid,242,56.6,1.959,0.3654,88.4,"{""2021"": 12.3, ""2022"": 11.5, ""2023"": 25.2, ""2024"": 5.0, ""2025"": 22.5, ""2026"": 11.9}",193,61.1,95.5,-0.03,60.1,False
w4_sow_aligned_30m,keep,166,59.0,2.664,0.4454,73.9,"{""2021"": 12.8, ""2022"": 13.4, ""2023"": 10.5, ""2024"": 16.6, ""2025"": 22.8, ""2026"": -2.2}",269,58.4,110.0,-0.011,61.0,False
w4_sow_aligned_30m,avoid,269,58.4,2.142,0.409,110.0,"{""2021"": 15.1, ""2022"": 14.5, ""2023"": 27.4, ""2024"": 2.1, ""2025"": 35.1, ""2026"": 15.8}",166,59.0,73.9,-0.011,61.0,False
w4_sow_aligned_1h,keep,106,63.2,2.978,0.4947,52.4,"{""2021"": 10.8, ""2022"": 4.3, ""2023"": 8.2, ""2024"": 6.7, ""2025"": 20.0, ""2026"": 2.5}",329,57.1,131.5,0.003,62.0,False
w4_sow_aligned_1h,avoid,329,57.1,2.151,0.3997,131.5,"{""2021"": 17.1, ""2022"": 23.6, ""2023"": 29.8, ""2024"": 12.0, ""2025"": 37.9, ""2026"": 11.1}",106,63.2,52.4,0.003,62.0,False
w4_opposed_15m,keep,233,60.9,2.568,0.4777,111.3,"{""2021"": 12.4, ""2022"": 9.8, ""2023"": 21.8, ""2024"": 24.5, ""2025"": 36.2, ""2026"": 6.6}",202,55.9,72.6,-0.096,57.7,False
w4_opposed_15m,avoid,202,55.9,2.04,0.3595,72.6,"{""2021"": 15.6, ""2022"": 18.1, ""2023"": 16.1, ""2024"": -5.8, ""2025"": 21.7, ""2026"": 7.0}",233,60.9,111.3,-0.096,57.7,False
w4_opposed_30m,keep,184,60.9,2.503,0.4798,88.3,"{""2021"": 9.0, ""2022"": 10.7, ""2023"": 17.4, ""2024"": 18.8, ""2025"": 26.4, ""2026"": 6.0}",251,57.0,95.7,-0.061,58.4,False
w4_opposed_30m,avoid,251,57.0,2.166,0.3811,95.7,"{""2021"": 19.0, ""2022"": 17.2, ""2023"": 20.6, ""2024"": -0.1, ""2025"": 31.5, ""2026"": 7.6}",184,60.9,88.3,-0.061,58.4,False
w4_opposed_1h,keep,92,57.6,2.154,0.4157,38.2,"{""2021"": 7.4, ""2022"": 4.1, ""2023"": 8.9, ""2024"": 7.6, ""2025"": 10.6, ""2026"": -0.3}",343,58.9,145.7,-0.03,59.0,False
w4_opposed_1h,avoid,343,58.9,2.353,0.4248,145.7,"{""2021"": 20.6, ""2022"": 23.8, ""2023"": 29.1, ""2024"": 11.1, ""2025"": 47.3, ""2026"": 13.9}",92,57.6,38.2,-0.03,59.0,False
w5_lps_aligned_15m,keep,59,64.4,2.716,0.5027,29.7,"{""2021"": 0.9, ""2022"": 1.4, ""2023"": 7.2, ""2024"": 1.4, ""2025"": 11.3, ""2026"": 7.5}",376,57.7,154.3,0.12,78.7,False
w5_lps_aligned_15m,avoid,376,57.7,2.249,0.4103,154.3,"{""2021"": 27.1, ""2022"": 26.4, ""2023"": 30.8, ""2024"": 17.3, ""2025"": 46.6, ""2026"": 6.1}",59,64.4,29.7,0.12,78.7,False
w5_lps_aligned_30m,keep,39,59.0,1.942,0.319,12.4,"{""2021"": 0.1, ""2022"": 0.9, ""2023"": 4.1, ""2024"": 0.4, ""2025"": 3.1, ""2026"": 3.8}",396,58.6,171.5,0.101,79.6,False
w5_lps_aligned_30m,avoid,396,58.6,2.344,0.4331,171.5,"{""2021"": 27.8, ""2022"": 26.9, ""2023"": 33.9, ""2024"": 18.3, ""2025"": 54.8, ""2026"": 9.8}",39,59.0,12.4,0.101,79.6,False
w5_lps_aligned_1h,keep,12,66.7,2.092,0.369,4.4,"{""2021"": -1.0, ""2022"": 1.5, ""2023"": 1.5, ""2024"": 1.0, ""2025"": 0.1, ""2026"": 1.4}",423,58.4,179.5,0.07,85.7,False
w5_lps_aligned_1h,avoid,423,58.4,2.313,0.4244,179.5,"{""2021"": 29.0, ""2022"": 26.3, ""2023"": 36.5, ""2024"": 17.7, ""2025"": 57.8, ""2026"": 12.2}",12,66.7,4.4,0.07,85.7,False
w5_lpsy_aligned_15m,keep,83,72.3,4.844,0.6597,54.8,"{""2021"": 7.9, ""2022"": 5.3, ""2023"": 10.6, ""2024"": 10.1, ""2025"": 13.8, ""2026"": 7.0}",352,55.4,129.2,0.127,76.1,False
w5_lpsy_aligned_15m,avoid,352,55.4,2.021,0.367,129.2,"{""2021"": 20.0, ""2022"": 22.5, ""2023"": 27.3, ""2024"": 8.6, ""2025"": 44.1, ""2026"": 6.5}",83,72.3,54.8,0.127,76.1,False
w5_lpsy_aligned_30m,keep,46,67.4,3.707,0.5652,26.0,"{""2021"": 3.4, ""2022"": 5.0, ""2023"": 5.3, ""2024"": 2.8, ""2025"": 8.2, ""2026"": 1.3}",389,57.6,157.9,0.08,74.2,False
w5_lpsy_aligned_30m,avoid,389,57.6,2.204,0.406,157.9,"{""2021"": 24.5, ""2022"": 22.9, ""2023"": 32.7, ""2024"": 16.0, ""2025"": 49.7, ""2026"": 12.2}",46,67.4,26.0,0.08,74.2,False
w5_lpsy_aligned_1h,keep,21,61.9,2.567,0.3725,7.8,"{""2021"": 1.9, ""2022"": -0.1, ""2023"": 2.6, ""2024"": 0.6, ""2025"": 2.9, ""2026"": -0.1}",414,58.5,176.1,0.077,80.8,False
w5_lpsy_aligned_1h,avoid,414,58.5,2.297,0.4254,176.1,"{""2021"": 26.0, ""2022"": 27.9, ""2023"": 35.4, ""2024"": 18.1, ""2025"": 55.0, ""2026"": 13.7}",21,61.9,7.8,0.077,80.8,False
w6_failedbrk_aligned_15m,keep,1,100.0,inf,0.7313,0.7,"{""2024"": 0.7}",434,58.5,183.2,-0.038,33.3,False
w6_failedbrk_aligned_15m,avoid,434,58.5,2.301,0.4221,183.2,"{""2021"": 27.9, ""2022"": 27.8, ""2023"": 38.0, ""2024"": 18.0, ""2025"": 57.9, ""2026"": 13.6}",1,100.0,0.7,-0.038,33.3,False
