model,n,n_skipped_rule,n_skipped_busy,n_frozen,wr_pct,pf_R,avgR,totR,maxDD_R,avg_win_R,avg_loss_R,yrs_pos,n_years,avgR_ex2024,avgR_exFri,avgR_exBoth,long_avgR,short_avgR,nyam_avgR,nyam_avgR_ex2024,dol_exists_pct,avg_dol_dist_R,dol_bucket_lt0_5,dol_bucket_0_5_1,dol_bucket_1_2,dol_bucket_2_3,dol_bucket_gt3,pct_horizon_timeout,pct_dol_before_stop,pct_dol_before_2R,pct_2R_before_dol,pct_neither_before_stop,artifact_count
dol_htf_pocket_only__base,3773,88,1195,5056,21.68036045587066,1.1028296315180854,0.08421117123030535,317.7287490519421,125.65102786549318,4.165751469037371,-1.0456365321897216,5,6,0.08732555705427307,0.09367980938025272,0.10124342831136615,0.11407779879750791,0.05795888156092662,0.01903179161963353,-0.037177118975429364,100.0,1.2702549355698738,60.21733368672144,13.517095149748211,10.681155579114762,4.8767558971640605,10.707659687251523,0.10601643254704478,69.06970580439969,82.69281738669494,14.153193745030478,28.96899019347999,0
dol_htf_pocket_only__2x_costs,3773,88,1195,5056,21.68036045587066,1.0844141707004422,0.07014324276485574,264.6504549518007,141.62392160526468,4.156226117689499,-1.0609619320873807,5,6,0.07330330226489598,0.07946114662720107,0.08704222745609372,0.10204650704654969,0.04210078187980108,0.011573066818246202,-0.04446312375937899,100.0,1.2702549355698738,60.21733368672144,13.517095149748211,10.681155579114762,4.8767558971640605,10.707659687251523,0.10601643254704478,69.06970580439969,82.69281738669494,14.153193745030478,28.96899019347999,0
dol_htf_pocket_only__slip_-0.01R,3773,88,1195,5056,21.68036045587066,1.0675822312111896,0.056919390007300376,214.75685849754433,160.37854090811425,4.147272287422478,-1.0753678079912157,5,6,0.06012238276284883,0.06609560363929938,0.0736930986521046,0.090737092800621,0.027194168179506116,0.0045618655049247244,-0.05131196825630867,100.0,1.2702549355698738,60.21733368672144,13.517095149748211,10.681155579114762,4.8767558971640605,10.707659687251523,0.10601643254704478,69.06970580439969,82.69281738669494,14.153193745030478,28.96899019347999,0
dol_htf_pocket_only__slip_-0.02R,3773,88,1195,5056,21.627352239597137,1.0342312972013643,0.0296276087842954,111.78496794314654,205.8926420523112,4.138925094506358,-1.10435505890228,5,6,0.03291920847142458,0.03851139789834607,0.046142768992843024,0.06739638680373408,-0.0035705452019143854,-0.009908060609784048,-0.06544681753718798,100.0,1.2702549355698738,60.21733368672144,13.517095149748211,10.681155579114762,4.8767558971640605,10.707659687251523,0.10601643254704478,69.06970580439969,82.69281738669494,14.153193745030478,28.96899019347999,0
dol_PDH_PDL_only__base,3185,76,1795,5056,15.63579277864992,1.0283613124161826,0.025005308346470023,79.64190708350702,192.00415208752673,5.798714331877059,-1.0450754857429356,4,6,0.014386895661112495,0.04007843507328693,0.034293958210911225,0.0854605614238996,-0.02513678553279952,0.06252196336041474,-0.09871518650919626,100.0,1.3634077842693986,59.591836734693885,12.967032967032969,10.832025117739404,5.054945054945055,11.554160125588698,0.6593406593406593,68.22605965463109,81.6640502354788,15.070643642072213,29.5447409733124,0
dol_PDH_PDL_only__2x_costs,3185,76,1795,5056,15.63579277864992,1.0119965735128211,0.010730341136487473,34.1761365197126,210.79772721535522,5.789158570901862,-1.0602250955673298,4,6,0.0001726539633133683,0.02561073832342412,0.019822337509134126,0.07321722364611075,-0.04109680323105761,0.05492273713097244,-0.10609188948482803,100.0,1.3634077842693986,59.591836734693885,12.967032967032969,10.832025117739404,5.054945054945055,11.554160125588698,0.6593406593406593,68.22605965463109,81.6640502354788,15.070643642072213,29.5447409733124,0
dol_PDH_PDL_only__slip_-0.01R,3185,76,1795,5056,15.63579277864992,0.997034491633358,-0.002688128040929356,-8.561687810359999,228.46368783555752,5.780176155585157,-1.0744657288022956,3,6,-0.013188733232650945,0.012011103378519352,0.006219014049429931,0.06170848613496074,-0.0560992198674574,0.04777946447527899,-0.1130259902819391,100.0,1.3634077842693986,59.591836734693885,12.967032967032969,10.832025117739404,5.054945054945055,11.554160125588698,0.6593406593406593,68.22605965463109,81.6640502354788,15.070643642072213,29.5447409733124,0
dol_PDH_PDL_only__slip_-0.02R,3185,76,1795,5056,15.604395604395604,0.967376090223544,-0.030381564428328726,-96.76528270422699,281.0607330225216,5.7732786944796715,-1.1034541643826725,3,6,-0.04076436212641434,-0.016056228316248193,-0.02185593011205134,0.03795641084602193,-0.08706165420211524,0.033036965590143394,-0.12733679405468196,100.0,1.3634077842693986,59.591836734693885,12.967032967032969,10.832025117739404,5.054945054945055,11.554160125588698,0.6593406593406593,68.22605965463109,81.6640502354788,15.070643642072213,29.5447409733124,0
dol_prior_session_only__base,3033,91,1932,5056,14.408176722716782,1.0365323033688687,0.03267986354048272,99.11802611828409,212.71070928258575,6.43542144925009,-1.0451314126363656,4,6,0.012232833696406363,0.04834418344932849,0.030616164223607006,0.09665876623835443,-0.01898367230910976,-7.951004013699363e-05,-0.1410039884801337,100.0,1.4035997891530705,59.14935707220573,12.957467853610286,10.847345862182657,5.044510385756676,12.001318826244642,0.8242664029014177,67.88658094296076,81.17375535773161,15.496208374546653,29.87141444114738,0
dol_prior_session_only__2x_costs,3033,91,1932,5056,14.375206066600727,1.020189039195552,0.018322294925362605,55.571520508624786,221.97243095624611,6.440666214377989,-1.060307761540901,4,6,-0.002045726807507447,0.03378508694642159,0.016075230988742212,0.08437940701994864,-0.03501941358963385,-0.007733471150848894,-0.14841571143443347,100.0,1.4035997891530705,59.14935707220573,12.957467853610286,10.847345862182657,5.044510385756676,12.001318826244642,0.8242664029014177,67.88658094296076,81.17375535773161,15.496208374546653,29.87141444114738,0
dol_prior_session_only__slip_-0.01R,3033,91,1932,5056,14.375206066600727,1.0052472587115728,0.004826180427116229,14.637805235443523,230.67844932950837,6.431760960448642,-1.0741663355872793,4,6,-0.015467573681219685,0.020099536233655152,0.0024067537479354104,0.0728368093546185,-0.050093010393363946,-0.014928194594935888,-0.1553827310114925,100.0,1.4035997891530705,59.14935707220573,12.957467853610286,10.847345862182657,5.044510385756676,12.001318826244642,0.8242664029014177,67.88658094296076,81.17375535773161,15.496208374546653,29.87141444114738,0
dol_prior_session_only__slip_-0.02R,3033,91,1932,5056,14.342235410484669,0.9756315562397037,-0.023027502686250305,-69.84241564739717,252.00160736860903,6.428180145920606,-1.1031950650973288,3,6,-0.04316798105884574,-0.008145110982018153,-0.025802656727736156,0.04901485247088267,-0.08120234847761813,-0.029776879149734755,-0.16976147354285132,100.0,1.4035997891530705,59.14935707220573,12.957467853610286,10.847345862182657,5.044510385756676,12.001318826244642,0.8242664029014177,67.88658094296076,81.17375535773161,15.496208374546653,29.87141444114738,0
fixed_2R_baseline__base,5056,0,0,5056,34.35522151898734,0.9845696251001572,-0.010550042728997606,-53.3410160378119,128.37880819110956,1.9594375242317121,-1.0415438371883987,2,6,-0.02869226821710457,-0.033855525717044206,-0.0499937718895588,-0.0009691772342525684,-0.01887707222184254,0.036987569303192164,-0.008722570485134576,99.92088607594937,1.1263423554229568,62.33174980205859,13.558986539984163,10.352335708630244,4.592240696753761,9.164687252573238,0.01977848101265823,69.73475851148059,84.54077593032461,12.569279493269992,28.57990506329114,0
fixed_2R_baseline__2x_costs,5056,0,0,5056,34.35522151898734,0.9649884011674288,-0.024256371712644432,-122.64021537913025,169.8407704425758,1.9460017916668184,-1.055391782917865,1,6,-0.042359643231615694,-0.047776694246257835,-0.06390354158277263,-0.012918494642125508,-0.03411047485230802,0.029779818304350978,-0.01579894590120972,99.92088607594937,1.1263423554229568,62.33174980205859,13.558986539984163,10.352335708630244,4.592240696753761,9.164687252573238,0.01977848101265823,69.73475851148059,84.54077593032461,12.569279493269992,28.57990506329114,0
fixed_2R_baseline__slip_-0.01R,5056,0,0,5056,34.35522151898734,0.9470448761854662,-0.03714032095730438,-187.78146276013095,209.88414826342347,1.9333722030557872,-1.0684088519035955,1,6,-0.05520697574528799,-0.060862592663751075,-0.076978725094426,-0.024150853005553894,-0.04842987332498103,0.023004532365423484,-0.022450738792336833,99.92088607594937,1.1263423554229568,62.33174980205859,13.558986539984163,10.352335708630244,4.592240696753761,9.164687252573238,0.01977848101265823,69.73475851148059,84.54077593032461,12.569279493269992,28.57990506329114,0
fixed_2R_baseline__slip_-0.02R,5056,0,0,5056,34.35522151898734,0.9113609507625097,-0.06373059918561114,-322.2219094824499,329.35892519916933,1.9073068818798629,-1.0952738666187924,1,6,-0.0817216832734714,-0.08786965961045791,-0.10396367829929319,-0.04733252877685521,-0.07798267442811951,0.009021495427654829,-0.03617890709953906,99.92088607594937,1.1263423554229568,62.33174980205859,13.558986539984163,10.352335708630244,4.592240696753761,9.164687252573238,0.01977848101265823,69.73475851148059,84.54077593032461,12.569279493269992,28.57990506329114,0
